analysis             sr               o        b        db               s              ds              s95obs  s95exp  robscons        rexpcons        
atlas_1604_01306     SR1              264.0    295.0    34.0             10.19276631    1.46433074175   49.0    63.0    0.159005385582  0.123670855453  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.30825410815   2.9     3.9     0               0               
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.298913224458  6.0     8.7     0               0               
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            119.72840704   16.8603767163   194.0   284.0   0.474625717656  0.324216159244  
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            3.37211554334   5.6     5.1     0               0               
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            3.37211554334   7.22    6.137   0               0               
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             2.38527        3.37211554334   76.0    57.0    0               0               
atlas_1712_02332     2j-2100          180.0    143.0    13.0             21.5063576     7.15251871384   67.0    37.0    0.145913834467  0.2642223489    
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              7.17283242     4.76807083936   27.0    20.0    0               0               
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.00244138     3.37211554334   2.97    2.9     0               0               
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              15.58332854    3.37775104233   8.4     9.0     1.19569247983   1.11597964784   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           925.370594515  14.0000501692   5551.0  5525.0  0.162567197305  0.16333221941   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            12.9840049614   5.8     5.4     0               0               
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             70.2014404     13.0093893428   36.0    33.0    1.35739005216   1.48078914781   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            12.9840049614   6.5     5.9     0               0               
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.2162069      12.9840798242   2.928   2.927   0               0               
atlas_1911_12606     E-inc-02         46.0     44.0     6.8              36.7337003     18.3621535042   21.0    19.0    0.31522707396   0.348408871219  
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0            12.9840049614   21.0    19.0    0               0               
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             9.18425        12.9840049614   66.0    57.0    0               0               
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             9.2061009      12.9840117671   38.0    29.0    0               0               
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            12.9840049614   10.4    11.1    0               0               
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            12.9840049614   13.0    11.5    0               0               
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0045446205   0.298914791247  20.0    10.2    0               0               
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0002164105   0.298913224458  115.0   101.0   0               0               
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.047312835    1.23303464963   7.2     7.3     0               0               
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.0020018      1.38247588154   5.0     5.6     0               0               
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            1.24235873075   6.34    3.17    0               0               
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.02698365     1.24236817306   6.3     6.1     0               0               
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              8.58979525     1.24546398629   11.9    13.0    0.550187757352  0.503633408653  
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            343.76693184   28.6130842092   582.0   410.0   0.510036896455  0.72400359448   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            7.45414531099   2.87    2.94    0               0               
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            12.9840049614   21.0    18.0    0               0               
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            202.3253605    43.0658049188   317.0   216.0   0.415449338906  0.609710372376  
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            1341.740292    110.93436264    1199.0  833.0   0.967312708315  1.39232645531   
