analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons         rexpcons        
atlas_1604_01306     SR1               264.0    295.0    34.0             8.087673069    0.942224309995  49.0    63.0    0.133518881645   0.103848019057  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.160825247319  2.9     3.9     0                0               
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.155952215639  6.0     8.7     0                0               
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            94.95471012    10.8451730875   194.0   284.0   0.397776424003   0.271720514988  
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            1.75933660653   5.6     5.1     0                0               
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            1.75933660653   7.22    6.137   0                0               
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             1.24952518     1.75933829173   76.0    57.0    0                0               
atlas_1712_02332     2j-1200           582.0    517.0    31.0             18.67575563    4.81766308384   128.0   77.0    0.0841780325977  0.139932313929  
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              2.49294518     1.75933829173   27.0    20.0    0                0               
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            1.75933660653   2.97    2.9     0                0               
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              12.72334525    1.76811816806   8.4     9.0     1.16947993505    1.09151460604   
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           604.538154805  8.17163344362   5551.0  5525.0  0.106491925051   0.106993063522  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            6.77416453312   5.8     5.4     0                0               
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              35.2166316     6.79848599837   14.1    14.4    1.70688755764    1.67132740019   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            6.77416453312   6.5     5.9     0                0               
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.1312654      6.77424888589   2.928   2.927   0                0               
atlas_1911_12606     E-inc-03          90.0     77.0     12.0             19.1835833     9.57774215332   39.0    30.0    0.0891304145782  0.115869538952  
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0            6.77416453312   21.0    19.0    0                0               
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0            6.77416453312   66.0    57.0    0                0               
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             0.0750088      6.77420995398   38.0    29.0    0                0               
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            6.77416453312   10.4    11.1    0                0               
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            6.77416453312   13.0    11.5    0                0               
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.003021942    0.155954157577  20.0    10.2    0                0               
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.000431706    0.15595236502   115.0   101.0   0                0               
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.041848565    0.643330394257  7.2     7.3     0                0               
atlas_conf_2016_054  GG6J_high_mass    3.0      3.8      1.2              0.0            0.721277982121  5.0     5.6     0                0               
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.648175788544  6.34    3.17    0                0               
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0224285      0.648190689149  6.3     6.1     0                0               
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              7.88855202     0.653611645822  11.9    13.0    0.572825959735   0.524356070835  
atlas_conf_2017_060  EM6               2975.0   2825.0   78.0             137.04380238   13.0475956149   302.0   184.0   0.382932932356   0.628509486802  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            3.88905614549   2.87    2.94    0                0               
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            6.77416453312   21.0    18.0    0                0               
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             105.4655399    22.4673581116   116.0   119.0   0.591543729284   0.576630862159  
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            503.6472342    49.0851267703   594.0   381.0   0.71236974124    1.11062369107   
