analysis             sr               o         b         db               s              ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             7.1112140995   0.791468962978  49.0    63.0    0.118636836739    0.0922730952415   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.129058555778  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0            0.12514789398   6.0     8.7     0                 0                 
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            90.1807317     9.47001796083   194.0   284.0   0.384793310537    0.262851768466    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0            1.41182632619   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.41182632619   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.002433655    1.41182632619   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             12.005447515   3.45655361401   86.0    67.0    0.0736825533492   0.0945776057915   
atlas_1712_08119     SRI-MLL-05       4.0       3.1       1.2              15.971453655   3.99225756447   6.5     5.5     1.44986942296     1.71348204532     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            1.41182632619   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              11.270256305   1.42150468457   8.4     9.0     1.06416531218     0.993220958034    
atlas_1807_07447     MET1j            18952.0   18500.0   3200.0           499.914116135  6.65597733271   5551.0  5525.0  0.0880919317798   0.088506482047    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            5.43610977016   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             54.5275214     5.48289679067   36.0    33.0    1.26487696287     1.37986577768     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0            5.43610977016   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.1311884      5.43621476205   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-10         244.0     200.0     19.0             115.371513     21.0553265332   83.0    49.0    0.973985270911    1.64981178542     
atlas_2004_10894     Cat12            22.0      16.6      1.7              11.6309916     6.65572027108   15.2    9.9     0.0470796286471   0.0722838742864   
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0            5.43610977016   66.0    57.0    0                 0                 
atlas_2101_01629     2J_btag_700      154.0     134.0     36.0             11.582353      6.66005987052   77.0    68.0    0.00856954301756  0.00970374724047  
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0            5.43610977016   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            5.43610977016   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0053931375   0.12515235622   20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0            0.12514789398   115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.04360363     0.516271743246  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG6J_high_mass   3.0       3.8       1.2              0.00199546     0.578809560531  5.0     5.6     0                 0                 
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.520145592017  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.02779491     0.520168774706  6.3     6.1     0                 0                 
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              6.59815299     0.525800915687  11.9    13.0    0.482003318342    0.441218422175    
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            405.944061265  20.1149487806   1355.0  1235.0  0.275243944845    0.301988295761    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            3.12087496769   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0            5.43610977016   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            92.4705268     18.8219819924   317.0   216.0   0.194329578336    0.285196649687    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           1605.2519994   78.4954449065   3986.0  2400.0  0.370426359697    0.615216445731    
