analysis             sr               o         b         db               s            ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             1.263076159  0.211427046804   49.0    63.0    0.018700730658   0.014545012734   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.03687605   0.0521230553839  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000215687  0.0505435763561  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            14.64031944  2.41902931509    194.0   284.0   0.0550160379549  0.0375813780396  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00486644   0.570200161125   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0          0.570194969451   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.41026766   0.570205352752   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             7.2933943    1.71049299544    86.0    67.0    0.0521882068311  0.0669878475742  
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              16.13183244  2.5498999057     19.0    18.0    0.628947189192   0.663888699703   
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0          0.570194969451   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              5.31901892   0.581428177718   8.4     9.0     0.51969960816    0.485052967616   
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             1.798672569  0.253486083791   18.0    20.0    0.0768308550879  0.0691477695791  
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0          2.19548786846    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC100  120.0     124.0     12.0             26.6545205   2.2516222466     29.0    32.0    0.791788276399   0.717558125487   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0187378    2.19550785852    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0749512    2.19562779508    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-30     3.0       8.3       1.4              12.4348378   4.38977472511    4.1     6.9     1.27697737825    0.75878365954    
atlas_2004_10894     Cat9             71.0      69.0      4.0              1.551595     2.19548786846    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             1.551595     2.19548786846    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             7.9128874    3.471915176      68.0    54.0    0.0326315663436  0.0410916020623  
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0374756    2.1955478381     10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0          2.19548786846    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.004960801  0.0505536998672  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.000215687  0.0505435763561  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.03202956   0.208558441225   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              0.85631015   0.369610375009   20.0    19.0    0.0125074567492  0.0131657439466  
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0          0.210071700447   6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              1.9511931    0.514756602779   11.1    10.3    0.0997290334632  0.10747497781    
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              3.2894336    0.216360365949   11.9    13.0    0.246605260491   0.225738661526   
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            97.57128252  6.25917981346    1355.0  1235.0  0.0644326403143  0.0706933017214  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0          1.26042949672    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0749512    2.19562779508    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            25.0108602   6.21068304131    317.0   216.0   0.0467676341081  0.0686358333901  
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           382.0821204  24.2993391063    3986.0  2400.0  0.0858583051344  0.142596335111   
