analysis             sr               o        b        db               s            ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.563884755  0.0840164249495  49.0    63.0    0.00869587383842   0.00676345742989   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.01294535   0.0184415562023  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.001502235  0.017890435105   6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            6.06674742   0.925770992558   194.0   284.0   0.0234457886196    0.0160157851838    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.002421015  0.201739602419   5.6     5.1     0                  0                  
atlas_1708_07875     sr1-lowmass      10.0     14.0     6.0              0.568504     0.284267832166   9.386   11.191  0.0108997182236    0.0091416991553    
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.43657356   0.246517986636   76.0    57.0    0.000424790288372  0.000566387051163  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             4.607603255  0.807323608542   86.0    67.0    0.0381813085697    0.0490088438357    
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             6.139206945  0.923988658339   59.0    66.0    0.0783706024631    0.0700585688685    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.201739602419   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             16.06101351  0.282093885955   61.0    48.0    0.255711139951     0.324966240355     
atlas_1807_07447     MET5j            72.0     107.0    44.0             2.235115326  0.167736869335   37.0    46.0    0.0529736989268    0.0426092795715    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0093219    0.776779663704   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             20.6107209   0.891869288227   36.0    33.0    0.531890424092     0.580244099009     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0          0.776779663704   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.5825626    0.776947449577   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             13.3408674   2.51595987364    96.0    73.0    0.0959863875753    0.126228674072     
atlas_2004_10894     Cat12            22.0     16.6     1.7              2.2341376    1.0986114361     15.2    9.9     0.0284483450524    0.0436782671512    
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.5624719    0.776779663704   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             5.1053223    1.64943965574    68.0    54.0    0.0352976656556    0.0444489123071    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0093219    0.776779663704   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.776779663704   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.02088944   0.0179302923215  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0   2200.0           0.09382291   0.0311799083291  3717.0  3549.0  1.14844929622e-05  1.20281375994e-05  
atlas_conf_2016_050  SR1              37.0     24.0     3.0              0.15994419   0.0908218438635  26.0    12.9    0.0004229371563    0.000852431477815  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.85143915   0.218882676205   20.0    19.0    0.0246235780512    0.0259195558434    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.0743248944986  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              1.953976165  0.293292138795   11.1    10.3    0.1327006358       0.143007481299     
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              3.33383396   0.202632046977   11.9    13.0    0.25222835319      0.230885954074     
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            15.53643518  1.47601076899    582.0   410.0   0.0225357002042    0.0319897012655    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0107034    0.445982179436   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.1118628    0.777394701526   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-16   908.0    890.0    50.0             6.6120876    1.89811640483    123.0   113.0   0.0284485910251    0.030966165452     
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            55.5175875   5.46375095676    1199.0  833.0   0.0388298881826    0.0558907994369    
