analysis             sr               o        b        db               s             ds               s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             3.175012076   0.350107239041   49.0    63.0    0.053078289877   0.0412831143488   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.0567378190513  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.0550184751061  6.0     8.7     0                0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             18.553928725  2.84387249443    96.0    116.0   0.144687269106   0.119741188225    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.620677144761   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.620677144761   7.22    6.137   0                0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             1.757954975   0.877766675226   76.0    57.0    0.0041897056267  0.00558627416893  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             8.3742686     1.91229826914    86.0    67.0    0.0609081330071  0.078180588636    
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              16.26179075   2.66944072183    11.4    9.3     1.04244806721    1.27783956626     
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.002428975   0.620677144761   2.97    2.9     0                0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             30.821263775  0.678305460163   61.0    48.0    0.487030210169   0.618934225424    
atlas_1807_07447     MET1g2j          38.0     43.0     10.0             1.918183188   0.273164724134   18.0    20.0    0.0816773911345  0.073509652021    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           2.3898632997     5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             38.41092285   2.46385859934    36.0    33.0    0.954727631863   1.04152105294     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.00935255    2.3898632997     6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.08417295    2.39000969721    2.928   2.927   0                0                 
atlas_1911_12606     E-high-mm-10     9.0      11.0     2.0              25.3841052    6.54451757169    7.0     8.0     2.09301376892    1.8313870478      
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0187051     2.38988159988    21.0    19.0    0                0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             1.688445      2.3898632997     66.0    57.0    0                0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             10.2701857    4.13948087879    68.0    54.0    0.0511976038058  0.0644710566443   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           2.3898632997     10.4    11.1    0                0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           2.3898632997     13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0066746255  0.0550311126668  20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.0550184751061  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.036414355   0.227020780097   7.2     7.3     0                0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              2.02886       0.596753662295   20.0    19.0    0.0525091996918  0.0552728417808   
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.228670619913   6.34    3.17    0                0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.01431816    0.228696883885   6.3     6.1     0                0                 
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              5.295700575   0.329756211067   11.9    13.0    0.399571461248   0.365761568373    
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            80.200572725  5.92134310445    582.0   410.0   0.121116099714   0.17192578057     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           1.37202442594    2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.00935255    2.3898632997     21.0    18.0    0                0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            40.7110459    8.27584155787    317.0   216.0   0.0856109329498  0.125641971042    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            313.8095863   22.9853483565    1199.0  833.0   0.23028658465    0.331468925565    
