analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             1.957062433   0.203677231307   49.0    63.0    0.0331230974216   0.0257624091057    
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.031142831476   2.9     3.9     0                 0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0           0.0301990996271  6.0     8.7     0                 0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            24.491825305  2.4204746661     194.0   284.0   0.105784777591    0.0722614325795    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0           0.340683929558   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.340683929558   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.007273035   0.340701181032   76.0    57.0    0                 0                  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             6.082306125   1.20440458137    86.0    67.0    0.0477567745529   0.0612997404709    
atlas_1712_08119     SRI-MLL-20       34.0      29.0      6.0              11.58585245   1.66879778011    20.0    17.0    0.442451204531    0.52053082886      
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.002424345   0.340683929558   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             22.902787215  0.414226894445   61.0    48.0    0.364318936199    0.462988648086     
atlas_1807_07447     MET1g1j          106.0     103.0     21.0             2.3293155     0.222591315105   44.0    40.0    0.0446424032552   0.0491066435807    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           1.31177378156    5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             26.3053255    1.40221858269    36.0    33.0    0.666824639566    0.727445061345     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0           1.31177378156    6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.074678      1.31200625642    2.928   2.927   0                 0                  
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             51.0826585    6.88049324148    130.0   63.0    0.306143458338    0.631724596571     
atlas_2004_10894     Cat9             71.0      69.0      4.0              1.85991       1.60796976216    21.0    19.0    0                 0                  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.02800425    1.31184020715    66.0    57.0    0                 0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             8.541785      2.7853512537     68.0    54.0    0.0584383668225   0.0735890545172    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0           1.31177378156    10.4    11.1    0                 0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           1.31177378156    13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0070917165  0.0302235578562  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0006447015  0.0302006288467  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.036345065   0.124697495702   7.2     7.3     0                 0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.131335175   0.327693877986   20.0    19.0    0.0296958607551   0.0312588007949    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.125515056836   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.21704274    0.126281787905   11.1    10.3    0.00089555025546  0.000965107556855  
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              3.12523682    0.136178672137   11.9    13.0    0.243857461991    0.223223369054     
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            42.18907602   3.17714408946    582.0   410.0   0.0635370441809   0.0901916090568    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.753090337478   2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0186695     1.31180699477    21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            23.39655475   4.64031729121    317.0   216.0   0.0497994775786   0.0730853444093    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           507.06995475  21.6365853853    3986.0  2400.0  0.118310575694    0.196494147799     
