analysis             sr                o        b       db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0   34.0             3.69640259     0.297701331782   49.0    63.0    0.0654729062424   0.0509233715219   
atlas_1605_09318     SR-Gbb-A          0.0      1.3     0.4              0.0248309      0.035219447986   2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0    2.8              0.0            0.0341521876805  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0   59.0             22.7435752     2.48244056964    96.0    116.0   0.194503881935    0.160968729877    
atlas_1706_03731     Rpc2L0bH          3.0      2.4     1.0              0.0            0.38527969088    5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7     1.4              0.0            0.38527969088    7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0   26.0             0.0            0.38527969088    76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100           180.0    143.0   13.0             8.4825771      1.51727384248    67.0    37.0    0.0894663880348   0.162006702658    
atlas_1712_08119     SRI-MLL-60        52.0     43.0    7.0              0.0            0.38527969088    27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH            0.0      0.48    0.27613402543    0.0            0.38527969088    2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0   22.0             28.00422154    0.600877077873   61.0    48.0    0.442930871021    0.562891315256    
atlas_1807_07447     MET2j             6771.0   6770.0  1800.0           111.499033375  1.64113262795    2712.0  2723.0  0.0401207875607   0.0399587131343   
atlas_1908_03122     SRC26             4.0      3.7     0.9              0.0            1.48348683954    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0   12.0             44.98265755    1.92144138945    36.0    33.0    1.16198593531     1.26762102034     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5     1.5              0.0            1.48348683954    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065   0.0222036033112  0.08071695     1.48370370432    2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40          472.0    443.0   31.0             3.19549345     1.48992506748    96.0    73.0    0.00783350353477  0.0103015936896   
atlas_2004_10894     Cat9              71.0     69.0    4.0              0.0            1.48348683954    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0   24.0             0.0            1.48348683954    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0    261.0   22.0             5.34650405     2.34710787146    68.0    54.0    0.0220183403059   0.0277267989037   
atlas_2103_11684     SR0-ZZtight       17.0     18.4    3.4              0.0            1.48348683954    10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7    1.9              0.0            1.48348683954    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3    2.3              0.00495528     0.0341665393355  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0   56.0             0.00020647     0.0341521876805  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4     1.8              0.03491929     0.140980875918   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0    7.0              0.370721225    0.193724757664   20.0    19.0    0.00265063112156  0.00279013802269  
atlas_conf_2016_066  SRL               3.0      0.78    0.18             0.0            0.141944981525   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0     12.0    4.0              0.2917676      0.1428216329     11.1    10.3    0.00518379477872  0.0055864196159   
atlas_conf_2016_096  2LBSF             19.0     20.7    5.0              5.3195411      0.156653416128   11.9    13.0    0.425431050214    0.389433038273    
atlas_conf_2017_060  IM6               5097.0   4680.0  160.0            143.55726998   6.24240199157    692.0   350.0   0.192658570396    0.380913516325    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64    0.34             0.0            0.85166918418    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0    5.0              0.0            1.48348683954    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0  50.0             45.2102155     6.88090343961    116.0   119.0   0.292461498785    0.285088519824    
atlas_conf_2020_048  EM06              10203.0  9930.0  170.0            277.73584095   17.0446155349    594.0   381.0   0.420509547934    0.655597562921    
