analysis             sr               o         b         db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.294075827   0.0415820555812   49.0    63.0    0.00460982154789   0.00358541675947   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.00881702598214  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000428978   0.00855257428569  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0     765.0     59.0             1.7546146     0.342432159727    96.0    116.0   0.012427352688     0.0102847056728    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              0.2539417     0.1178204285      8.0     9.0     0.00758952465753   0.00674624414003   
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.0964533543278   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.2082967     0.118908953932    76.0    57.0    0.000174815994109  0.000233087992146  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             2.7265561     0.427925683825    86.0    67.0    0.0235436974247    0.0302202683362    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             7.2595284     0.696225760498    59.0    66.0    0.103690138183     0.0926926992846    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0           0.0964533543278   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             15.4806113    0.215841513612    61.0    48.0    0.247977560946     0.315138150368     
atlas_1807_07447     MET2e1j          15.0      16.5      3.4              0.339313037   0.0262446741796   9.9     10.7    0.02992644155      0.027688950593     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           0.371384866526    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             19.7703557    0.567483351204    36.0    33.0    0.52332452789      0.57089948497      
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0           0.371384866526    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.28513055    0.371618522778    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             14.21904515   1.76666404495     96.0    73.0    0.117934542878     0.155092001593     
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.26649685    0.371384866526    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.2677655     0.371384866526    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             5.38115955    1.17689609249     68.0    54.0    0.0507507346812    0.0639083325615    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0186337     0.371501713022    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           0.371384866526    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.008794049   0.00865683213572  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.03274976    0.0121634391907   3717.0  3549.0  3.44410000735e-06  3.60713432722e-06  
atlas_conf_2016_050  SR1              37.0      24.0      3.0              0.061703465   0.0357093691494   26.0    12.9    0.000120773061347  0.000243418573257  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              0.80301166    0.145941267647    20.0    19.0    0.028183399053     0.0296667358452    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.0355353523814   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.92908936    0.122885203069    11.1    10.3    0.0655457321592    0.0706366628123    
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              2.6478145     0.0778587578101   11.9    13.0    0.211775305646     0.193855856707     
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            19.6614714    1.14085625896     1520.0  722.0   0.0117042546943    0.0246405361985    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.213212260836    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0931685     0.37243516527     21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            8.34311275    1.45766825939     317.0   216.0   0.0187777186265    0.0275580407621    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           113.96883935  5.41797432875     3986.0  2400.0  0.0263631112521    0.0437847339379    
