analysis             sr               o        b        db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             1.333045595   0.126686902483   49.0    63.0    0.0229648790802  0.0178615726179  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.000443242   0.017689384461   2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.0171520210186  6.0     8.7     0                0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             7.3160863     0.997710247929   96.0    116.0   0.0591650155562  0.0489641508051  
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.193495972621   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.193495972621   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.2784633     0.193511160236   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0    378.0    28.0             6.7512044     0.957279214902   86.0    67.0    0.0602472847391  0.0773323356352  
atlas_1712_08119     SRI-MLL-20       34.0     29.0     6.0              4.106393      0.749748845707   20.0    17.0    0.143840244652   0.169223817238   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.193495972621   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             14.946426     0.271423891542   61.0    48.0    0.237726078982   0.302110225372   
atlas_1807_07447     MET2j            6771.0   6770.0   1800.0           59.264681222  0.846697158538   2712.0  2723.0  0.0213407440568  0.021254534661   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.745040256591   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             17.72707005   0.848810435382   36.0    33.0    0.453750581555   0.495000634423   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0           0.745040256591   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0373398     0.745215678724   2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-20     23.0     17.8     2.7              6.30442       1.82000467977    15.7    11.2    0.211440275489   0.296393957605   
atlas_2004_10894     Cat9             71.0     69.0     4.0              1.06286495    0.745040256591   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             1.06286495    0.745040256591   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             8.58311435    2.11575752476    68.0    54.0    0.0751951766087  0.0946902223961  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.745040256591   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.745040256591   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.004513005   0.017178926282   20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.000214905   0.0171520210186  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.031026975   0.0709406264857  7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.45609462    0.280981917052   20.0    19.0    0.0497642138017  0.0523833829492  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0712881015492  6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.3820718     0.088953371987   11.1    10.3    0.0212782225172  0.0229308999943  
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             4.396788      0.128724056609   17.7    24.6    0.236479126958   0.170149615738   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            65.2131459    2.97362728228    1520.0  722.0   0.0396949981296  0.0835684171151  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.427728258592   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.745040256591   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            25.3857091    3.64017693466    317.0   216.0   0.0612486401488  0.0898880505887  
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            161.7850587   9.19732379705    1199.0  833.0   0.122353167367   0.17611218208    
