analysis             sr               o        b        db               s            ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.595173804  0.0568744861221   49.0    63.0    0.0102428499339    0.00796666105968   
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.017200464  0.00980636293988  5.4     6.9     0.000207042366406  0.000162033156318  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.000214074  0.00779671049674  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             3.03349245   0.431724697158    96.0    116.0   0.0242235827777    0.0200471029885    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.002415025  0.0879566581732   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.0879566581732   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.186658525  0.123611711975    76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             2.06524065   0.357064975634    86.0    67.0    0.0172052801158    0.0220843894024    
atlas_1712_08119     SRI-MLL-20       34.0     29.0     6.0              2.932843575  0.426793707356    20.0    17.0    0.111645094747     0.13134717029      
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.0879566581732   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             18.2588725   0.29314820552     61.0    48.0    0.291444417097     0.370377280061     
atlas_1807_07447     MET2e1j          15.0     16.5     3.4              0.289807849  0.0172823898835   9.9     10.7    0.0264105787466    0.0244359560366    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0          0.33866923118     5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             23.1365266   0.619628729494    36.0    33.0    0.614453763434     0.670313196474     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0          0.33866923118     6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0929885    0.339816223348    2.928   2.927   0                  0                  
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             17.0479891   2.01687893273     130.0   63.0    0.105694674233     0.218100121434     
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0          0.33866923118     21.0    19.0    0                  0                  
atlas_2004_14060     SRD1             4.0      3.1      1.0              0.715206     0.413056148713    6.4     5.7     0.00590529939238   0.00663051159847   
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             6.07027975   1.17403192284     68.0    54.0    0.0609539323022    0.0767568036398    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0          0.33866923118     10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.33866923118     13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.014435058  0.00791628886199  20.0    10.2    7.26172133167e-05  0.000142386692778  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0          0.00779671049674  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.055679385  0.0325948982405   7.2     7.3     0.000308854428558  0.000304623545975  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.092410265  0.163491196829    20.0    19.0    0.04121423511      0.0433834053789    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.0324050288522   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.458407795  0.0546506031608   11.1    10.3    0.0332234960195    0.0358039617297    
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             5.91278962   0.142270592149    17.7    24.6    0.320873776773     0.230872595483     
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            18.19823055  1.05635271561     582.0   410.0   0.0282917733615    0.0401605173083    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0          0.194430175647    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0          0.33866923118     21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            10.1848376   1.54915510279     317.0   216.0   0.0241142688689    0.0353899223677    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            74.55065075  4.19886649564     1199.0  833.0   0.0564341198475    0.081229903598     
