analysis             sr                o        b       db               s             ds                 s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0   34.0             0.0295258315  0.00220356071461   49.0    63.0    0.000528816161797  0.000411301459175  
atlas_1605_09318     SR-Gbb-C          5.0      7.6     1.7              0.000701566   0.000357562672839  5.4     6.9     2.13265215821e-05  1.66903212382e-05  
atlas_1609_01599     3lZ1b4j           7.0      11.0    2.8              0.0           0.000255169413625  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0    765.0   59.0             0.17518502    0.0180253533385    96.0    116.0   0.0015169108388    0.00125537448728   
atlas_1706_03731     Rpc2L0bH          3.0      2.4     1.0              0.0           0.00287862893971   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7     1.4              0.0           0.00287862893971   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0   26.0             0.009128315   0.004268476358     76.0    57.0    2.80001812221e-05  3.73335749627e-05  
atlas_1712_02332     2j-2100           180.0    143.0   13.0             0.09561546    0.0132557751754    67.0    37.0    0.0011026266972    0.00199664834358   
atlas_1712_08119     SRM-MT2-999       13.0     11.0    1.4              0.060262375   0.0121547592347    10.0    8.0     0.00403285698551   0.00504107123189   
atlas_1802_03158     SRaaWH            1.0      2.05    0.640078120232   0.011077755   0.00507128810142   3.53    4.4     0.000782108360812  0.000627464207652  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0   22.0             17.61039254   0.205813536058     61.0    48.0    0.283161612145     0.359851215435     
atlas_1807_07447     MET2e1j           15.0     16.5    3.4              0.21318569    0.00672471545972   9.9     10.7    0.0204199148127    0.0188931922099    
atlas_1908_03122     SRC26             4.0      3.7     0.9              0.0092814     0.0110838957929    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC120   57.0     51.0    5.0              15.5258043    0.379532741013     23.0    18.0    0.647972634989     0.827965033597     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5     1.5              0.0           0.0110838957929    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065   0.0222036033112  0.046407      0.0216201362111    2.928   2.927   0.00373974611126   0.00374102378332   
atlas_1911_12606     S-inc-40          472.0    443.0   31.0             3.3853277     0.17651345376      96.0    73.0    0.0322483920399    0.0424088443265    
atlas_2004_10894     Cat12             22.0     16.6    1.7              0.1054431     0.0282501589884    15.2    9.9     0.00388900258284   0.00597099386456   
atlas_2004_14060     SRB-T0            292.0    276.0   24.0             0.0110566     0.0123860747147    66.0    57.0    0                  0                  
atlas_2101_01629     4J_lx_bveto_1600  57.0     56.0    6.0              0.3025331     0.0528519508695    20.0    19.0    0.0107927950287    0.0113608368723    
atlas_2103_11684     SR0-ZZtight       17.0     18.4    3.4              0.0           0.0110838957929    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7    1.9              0.0           0.0110838957929    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3    2.3              0.010624116   0.00144062744242   20.0    10.2    0.000413074349722  0.000809949705337  
atlas_conf_2016_013  0J_6j_2b          9466.0   9000.0  2200.0           0.0009819625  0.000449532960345  3717.0  3549.0  6.5840313434e-08   6.89570146617e-08  
atlas_conf_2016_050  bCbv              7.0      7.4     1.8              0.03895018    0.00583197164528   7.2     7.3     0.0040813536808    0.00402544472627   
atlas_conf_2016_054  GG2J              47.0     46.0    7.0              0.058715689   0.00741694478287   20.0    19.0    0.0023275949778    0.00245009997664   
atlas_conf_2016_066  SRL               3.0      0.78    0.18             0.0           0.00106055000048   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0    4.0              0.33672814    0.0169952947319    11.1    10.3    0.0278248519495    0.029986005499     
atlas_conf_2016_096  2LASF             56.0     70.0    12.0             6.56411575    0.0760533768128    17.7    24.6    0.363807243617     0.261763748456     
atlas_conf_2017_060  IM6               5097.0   4680.0  160.0            1.15195601    0.0448359160812    692.0   350.0   0.00155841778559   0.00308121459322   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64    0.34             0.0           0.00636327238776   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0    5.0              0.0           0.0110838957929    21.0    18.0    0                  0                  
atlas_conf_2019_040  SR-2j-2200        971.0    980.0   50.0             0.338405095   0.048567347152     108.0   115.0   0.0023958763488    0.00225004039714   
atlas_conf_2020_048  EM06              10203.0  9930.0  170.0            2.14212285    0.118786722907     594.0   381.0   0.00327830408154   0.00511105675704   
