analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             1.662166844    0.128352780975   49.0    63.0    0.0296258833306   0.0230423537016   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.0145832866364  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.0141413294895  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             9.08431394     1.0079779354     96.0    116.0   0.0774086471452   0.0640623286719   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            0.159532204749   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.159532204749   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.45069386     0.224164014887   76.0    57.0    0.00109295888929  0.00145727851905  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             5.2065441      0.764195385682   67.0    37.0    0.0590039353355   0.106844963986    
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              1.81466858     0.451907754009   11.4    9.3     0.0941701634583   0.115434393917    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            0.159532204749   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             12.5564784     0.236269576186   61.0    48.0    0.199491742542    0.253520756147    
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           105.803058054  1.02696295052    5551.0  5525.0  0.0187567715393   0.0188450386995   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            0.614264958488   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             17.140612      0.732740668907   36.0    33.0    0.442747702861    0.48299749403     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            0.614264958488   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0372622      0.614476832469   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-10          244.0    200.0    19.0             9.16406565     1.99388658288    83.0    49.0    0.0710131524588   0.120287584777    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.428755       0.614264958488   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.428755       0.614264958488   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             5.0322504      1.43959507293    68.0    54.0    0.0392840364764   0.049468786674    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            0.614264958488   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            0.614264958488   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.016129188    0.0141851681637  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.0141413294895  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.08334108     0.058640829525   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.51657339     0.145678945255   20.0    19.0    0.0138829959891   0.0146136799885   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.05877499897    6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.44979462     0.0853431696449  11.1    10.3    0.0279127767371   0.0300807593963   
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             5.48200894     0.16010690595    17.7    24.6    0.294883255042    0.21217209814     
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            100.41982692   3.35384600641    1520.0  722.0   0.0624470522826   0.13146747849     
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            0.352650065565   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            0.614264958488   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             20.54813715    2.98001712695    116.0   119.0   0.13500783674     0.13160427783     
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            229.3282078    9.95480408806    1199.0  833.0   0.177649982565    0.255705076945    
