analysis             sr                o        b       db               s             ds                 s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1               264.0    295.0   34.0             0.0564563975  0.00391023287489   49.0    63.0    0.00102129827725  0.000794343104527  
atlas_1605_09318     SR-Gbb-A          0.0      1.3     0.4              0.000226043   0.000472771533667  2.9     3.9     0                 0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0    2.8              0.0           0.000458445093324  6.0     8.7     0                 0                  
atlas_1704_03848     SRI2              729.0    765.0   59.0             0.335561825   0.0325160834281    96.0    116.0   0.00293995258519  0.00243306420843   
atlas_1706_03731     Rpc2L0bH          3.0      2.4     1.0              0.0           0.00517183451757   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass      5.0      3.7     1.4              0.0           0.00517183451757   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0            206.0    179.0   26.0             0.02305314    0.0100279605233    76.0    57.0    8.6937957128e-05  0.000115917276171  
atlas_1712_02332     2j-2100           180.0    143.0   13.0             0.165631805   0.0228936196643    67.0    37.0    0.00191173535449  0.00346179104731   
atlas_1712_08119     SRM-MT2-999       13.0     11.0    1.4              0.11370717    0.017575243592     10.0    8.0     0.00848837705092  0.0106104713136    
atlas_1802_03158     SRaaSH            0.0      0.48    0.27613402543    0.0           0.00517183451757   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0   22.0             9.75533292    0.153798559563     61.0    48.0    0.155788578399    0.197981318382     
atlas_1807_07447     MET2m1j           17.0     16.0    5.0              0.253376195   0.00762717101124   13.0    13.0    0.0185282795801   0.0185282795801    
atlas_1908_03122     SRC26             4.0      3.7     0.9              0.0           0.0199136951792    5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0    6.0              9.1149215     0.292142389632     17.0    19.0    0.507988704765    0.454516209527     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5     1.5              0.0           0.0199136951792    6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass        0.05     0.065   0.0222036033112  0.018659      0.0219907895706    2.928   2.927   0                 0                  
atlas_1911_12606     S-inc-40          472.0    443.0   31.0             4.269581      0.204804185782     96.0    73.0    0.0409760639096   0.0538863306208    
atlas_2004_10894     Cat12             22.0     16.6    1.7              0.0896217     0.0303115931153    15.2    9.9     0.00262570311124  0.00403138255463   
atlas_2004_14060     SRB-T0            292.0    276.0   24.0             0.044382      0.0288839077635    66.0    57.0    0                 0                  
atlas_2101_01629     4J_lx_bveto_1600  57.0     56.0    6.0              0.3599855     0.0594136329868    20.0    19.0    0.0131273570951   0.0138182706264    
atlas_2103_11684     SR0-ZZtight       17.0     18.4    3.4              0.0           0.0199136951792    10.4    11.1    0                 0                  
atlas_2106_09609     SR9               25.0     22.7    1.9              0.0           0.0199136951792    13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ               21.0     10.3    2.3              0.0104045665  0.00165953002366   20.0    10.2    0.00038414686306  0.000753229143254  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0   56.0             0.0           0.000458445093324  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv              7.0      7.4     1.8              0.03574241    0.00594981132395   7.2     7.3     0.00360898880955  0.00355955060668   
atlas_conf_2016_054  GG2J              47.0     46.0    7.0              0.08285846    0.00984953138686   20.0    19.0    0.00333526142628  0.00351080150134   
atlas_conf_2016_066  SRL               3.0      0.78    0.18             0.0           0.0019054116991    6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0    4.0              0.45738267    0.0217434263537    11.1    10.3    0.0379931036739   0.0409440243476    
atlas_conf_2016_096  2LASF             56.0     70.0    12.0             5.36739273    0.0709624922149    17.7    24.6    0.296667471343    0.213455863527     
atlas_conf_2017_060  IM6               5097.0   4680.0  160.0            2.80038986    0.0933412107268    692.0   350.0   0.00382559288209  0.00756374364117   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64    0.34             0.0107121     0.0126249211716    2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low            51.0     46.0    5.0              0.0           0.0199136951792    21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-C-2-1600-22    2108.0   1969.0  100.0            1.6040924     0.140499075654     317.0   216.0   0.00433335620166  0.00635960146263   
atlas_conf_2020_048  EM06              10203.0  9930.0  170.0            4.9296488     0.24341849123      594.0   381.0   0.00762700753263  0.0118909251296    
