analysis             sr               o        b       db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0   34.0             1.40911476    0.104847528088   49.0    63.0    0.0252482615089   0.0196375367291   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0           0.0114855242141  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0           0.0111374913469  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0   59.0             8.79085012    0.878960811294   96.0    116.0   0.0765557748904   0.0633565033576   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0           0.125644910645   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.125644910645   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.087539      0.125644910645   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0   13.0             3.49659287    0.555003606713   67.0    37.0    0.038602790373    0.0699023501349   
atlas_1712_08119     SRI-MT2-999      277.0    289.0   33.0             0.34342194    0.128056686985   59.0    66.0    0.00226116903974  0.00202134808098  
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0           0.125644910645   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0   22.0             9.41292788    0.195668170938   61.0    48.0    0.149049706224    0.189417334993    
atlas_1807_07447     MET2m1j          17.0     16.0    5.0              0.275169758   0.0222360535147  13.0    13.0    0.0183617407874   0.0183617407874   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0           0.483784273218   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0    6.0              9.00042135    0.560708358221   17.0    19.0    0.475344684854    0.425308402238    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0           0.483784273218   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0371794     0.484052069227   2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40         472.0    443.0   31.0             5.2606099     0.716857889871   96.0    73.0    0.0425516975064   0.0559583967207   
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.00929485    0.483784273218   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.337061      0.483784273218   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             2.584744      0.907723020595   68.0    54.0    0.0161187977386   0.0202977453005   
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0           0.483784273218   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0           0.483784273218   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.016117885   0.0112132907027  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0002139825  0.0111374913469  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.03265916    0.0462463462696  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.30687954    0.0968116150107  20.0    19.0    0.00740542456913  0.00779518375697  
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.0462901276865  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.61300692    0.0953499334251  11.1    10.3    0.0411381107372   0.0443333038042   
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             5.726014255   0.190076603542   17.7    24.6    0.305892012723    0.220093033544    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            67.84024111   2.44636311672    692.0   350.0   0.0922372913274   0.18236630171     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.277740764274   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0           0.483784273218   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            36.82894795   3.53682429504    317.0   216.0   0.097881880461    0.143650722714    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            120.65018945  6.4028120054     594.0   381.0   0.185436999598    0.28910650331     
