analysis             sr               o       b       db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0   295.0   34.0             1.170302099   0.0905886902329  49.0    63.0    0.0208517683065    0.0162180420162    
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.0           0.0103660094219  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0           0.0100518943117  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0   765.0   59.0             7.19102352    0.755303364813   96.0    116.0   0.0620033958511    0.0513131551871    
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0           0.113397985249   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0           0.113397985249   7.22    6.137   0                  0                  
atlas_1709_04183     SRA-T0           18.0    18.7    2.7              0.24382493    0.138042784544   10.4    10.8    0.00167641955262   0.00161432993956   
atlas_1712_02332     2j-1200          582.0   517.0   31.0             5.07214444    0.634332409753   128.0   77.0    0.0314987444375    0.0523615491949    
atlas_1712_08119     SRI-MT2-999      277.0   289.0   33.0             0.335588575   0.116049653221   59.0    66.0    0.00246215497827   0.00220101732906   
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.0           0.113397985249   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0   133.0   22.0             9.49103766    0.189233633454   61.0    48.0    0.150503188543     0.191264468774     
atlas_1807_07447     MET2m1j          17.0    16.0    5.0              0.313573192   0.0250209311014  13.0    13.0    0.0209645280764    0.0209645280764    
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0           0.43662879428    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0    56.0    6.0              8.94984105    0.523362482688   17.0    19.0    0.47597215167      0.425869819915     
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.43662879428    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.02793915    0.436827391306   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0   443.0   31.0             5.1547093     0.575746714288   96.0    73.0    0.0438592155059    0.0576778724461    
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.0186261     0.436728104082   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.628567      0.537976600204   66.0    57.0    0                  0                  
atlas_2101_01629     2J_disc_squark   106.0   86.0    12.0             1.60993495    0.683147220857   46.0    31.0    0.0106429023434    0.0157926937998    
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0           0.43662879428    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.43662879428    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.0138817465  0.0101202578697  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.0           0.0100518943117  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.087107855   0.0513175848729  7.2     7.3     0.000409307751162  0.000403700795666  
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.280420045   0.0879103471656  20.0    19.0    0.00681235378242   0.00717089871834   
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.0417781540736  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.91020897    0.132085717657   11.1    10.3    0.0624854408147    0.0673386789362    
atlas_conf_2016_096  2LASF            56.0    70.0    12.0             5.927948175   0.207312042038   17.7    24.6    0.315703752885     0.227152700246     
atlas_conf_2017_060  EM7              1142.0  1094.0  33.0             16.54907803   1.1490420314     128.0   92.0    0.114567571082     0.159398359766     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.00534665    0.250668855482   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0           0.43662879428    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            29.5894468    3.01184899132    317.0   216.0   0.0777602979629    0.114120437288     
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             61.8390635    4.35837626133    310.0   197.0   0.17642363365      0.277620946352     
