analysis             sr               o        b       db               s            ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0   34.0             1.183452234  0.0825833541913   49.0    63.0    0.0213880721046   0.0166351671925   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0          0.00850937922773  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0          0.00825150971067  6.0     8.7     0                 0                 
atlas_1704_03848     SRI3             236.0    273.0   37.0             4.244395725  0.526189458677    47.0    64.0    0.0719456385696   0.0528350783245   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.002415815  0.0930873991331   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0          0.0930873991331   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.133995315  0.0930873991331   76.0    57.0    0                 0                 
atlas_1712_02332     2j-1600          204.0    216.0   18.0             2.524198965  0.405314003553    38.0    43.0    0.0489337894519   0.0432438139343   
atlas_1712_08119     SRI-MT2-999      277.0    289.0   33.0             0.42869443   0.117720409443    59.0    66.0    0.00399377895785  0.00357019634111  
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0          0.0930873991331   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0   22.0             11.29238902  0.239587401708    61.0    48.0    0.178679765266    0.227072201692    
atlas_1807_07447     MET2m1j          17.0     16.0    5.0              0.315500736  0.0226076951241   13.0    13.0    0.021417239692    0.021417239692    
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0          0.358425354697    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0    6.0              10.2599957   0.473095829138    17.0    19.0    0.557889325895    0.499164133695    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0          0.358425354697    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0093019    0.358425354697    2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40         472.0    443.0   31.0             4.8319036    0.484817545992    96.0    73.0    0.0420500294226   0.0552986688298   
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.0186038    0.358546036421    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.248725     0.358425354697    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             1.4293153    0.569871418703    68.0    54.0    0.00727538490187  0.00916159580236  
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0          0.358425354697    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0          0.358425354697    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.013004252  0.00833995547907  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0          0.00825150971067  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.03180042   0.0344363286092   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.223225415  0.0669250818753   20.0    19.0    0.00567341403622  0.00597201477497  
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0          0.0342953529864   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.607242175  0.0835293309067   11.1    10.3    0.0423652317399   0.045655735176    
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             6.70736828   0.205727509374    17.7    24.6    0.359885602521    0.258942079863    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            44.5163647   1.70360578676     692.0   350.0   0.0602925595516   0.119207003456    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0          0.205772192179    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0          0.358425354697    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            24.9746898   2.50293988652     317.0   216.0   0.0658355469593   0.0966197610468   
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            84.9923563   4.62671962018     594.0   381.0   0.130310666874    0.203161512134    
