analysis             sr               o        b        db               s            ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             1.060830444  0.0774509344137   49.0    63.0    0.0190573655421   0.0148223954216   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.00834842658983  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0          0.0080954385206   6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             6.55015017   0.647042615735    96.0    116.0   0.057177086252    0.0473189679327   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0          0.0913264697305   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.0913264697305   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.13392651   0.0913584742737   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             2.483788555  0.398748475903    67.0    37.0    0.0273110605152   0.0494551636356   
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             0.44083064   0.115735433905    59.0    66.0    0.00425465302364  0.00380340194538  
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.0913264697305   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             11.45876888  0.238007447031    61.0    48.0    0.181449781424    0.23059243056     
atlas_1807_07447     MET2m1j          17.0     16.0     5.0              0.310376876  0.0206615290669   13.0    13.0    0.0212686129485   0.0212686129485   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.25283      0.351645162191    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              10.24133     0.467886196746    17.0    19.0    0.557293919843    0.498631401965    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0          0.351645162191    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0372412    0.352014722917    2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             5.1157104    0.540352371417    96.0    73.0    0.0440576303216   0.0579388015188   
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.25283      0.351645162191    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.2535328    0.351645162191    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             1.0936608    0.504513822314    68.0    54.0    0.00391556075597  0.00493070613714  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0          0.351645162191    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.351645162191    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.005144112  0.0081604388816   20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0          0.0080954385206   115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.087806025  0.0415451362471   7.2     7.3     0.00273222243815  0.00269479473352  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.165251135  0.0539279466782   20.0    19.0    0.00384046512239  0.00404259486567  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.0336465878831   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.84064449   0.104295507864    11.1    10.3    0.0603243114507   0.0650096948643   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             6.79731806   0.199646419209    17.7    24.6    0.365530956638    0.263003980996    
atlas_conf_2017_060  IM6              5097.0   4680.0   160.0            47.52612783  1.74470442464     692.0   350.0   0.0645445268405   0.12761375021     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0          0.201879593773    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0          0.351645162191    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            26.2999959   2.54203041632     317.0   216.0   0.0698140883825   0.102458638969    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            174.9996636  6.57273947481     1199.0  833.0   0.13696444609     0.197143302355    
