analysis             sr                o        b        db               s            ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.210371019  0.0150629136899   49.0    63.0    0.00378913960303   0.00294710858014   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0          0.00169503691144  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0          0.00164367076878  6.0     8.7     0                  0                  
atlas_1704_03848     SRI3              236.0    273.0    37.0             0.84566224   0.101832944761    47.0    64.0    0.0144394938424    0.0106040032905    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.00236584   0.0185426641178   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0          0.0185426641178   7.22    6.137   0                  0                  
atlas_1709_04183     SRA-T0            18.0     18.7     2.7              0.05579224   0.0268489697505   10.4    10.8    0.00113076246241   0.00108888237121   
atlas_1712_02332     2j-2100           180.0    143.0    13.0             0.46205948   0.0760514736806   67.0    37.0    0.00503485168901   0.00911716386929   
atlas_1712_08119     SRM-MT2-999       13.0     11.0     1.4              0.13535936   0.0330770786586   10.0    8.0     0.00811129509998   0.010139118875     
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.00236584   0.0185426641178   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             12.3245418   0.192232465056    61.0    48.0    0.196873451759     0.250193344944     
atlas_1807_07447     MET2m1j           17.0     16.0     5.0              0.299848145  0.0106008485872   13.0    13.0    0.0217279041013    0.0217279041013    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.00910945   0.0713970015197   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              10.6033998   0.31875647453     17.0    19.0    0.592978775398     0.530559956935     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0          0.0713970015197   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0          0.0713970015197   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0    443.0    31.0             4.848339     0.2592398606      96.0    73.0    0.0460748502981    0.0605915839536    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0          0.0713970015197   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.10333535   0.0855404108226   66.0    57.0    0                  0                  
atlas_2101_01629     4J_lx_bveto_1600  57.0     56.0     6.0              0.26417405   0.0861454006113   20.0    19.0    0.00614477964988   0.00646818910513   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0          0.0713970015197   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0          0.0713970015197   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.01447398   0.00321590037014  20.0    10.2    0.000459995169649  0.000901951313037  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0          0.00164367076878  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.03616297   0.00849484356302  7.2     7.3     0.00308769813287   0.00304540089817   
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.09934808   0.0182025188036   20.0    19.0    0.0034747974581    0.00365768153484   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0          0.00683151412759  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.662402125  0.0396476457777   11.1    10.3    0.05381801675      0.0579980568859    
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             6.528899625  0.0993086994038   17.7    24.6    0.359662901581     0.25878184382      
atlas_conf_2017_060  IM6               5097.0   4680.0   160.0            9.94211384   0.353498646677    692.0   350.0   0.0135294451726    0.0267496458841    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0          0.0409890279461   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0          0.0713970015197   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22    2108.0   1969.0   100.0            4.6625827    0.4721874727      317.0   216.0   0.0122656001412    0.018000903911     
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            38.32197585  1.366232172       1199.0  833.0   0.030092873301     0.0433149520863    
