analysis             sr                o        b        db               s             ds                 s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.1371126875  0.00943034105398   49.0    63.0    0.00248259037085   0.00193090362177   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.00102756131045   2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0           0.000996422880423  6.0     8.7     0                  0                  
atlas_1704_03848     SRI3              236.0    273.0    37.0             0.5415008     0.0629900587292    47.0    64.0    0.00932334263158   0.00684682974506   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0           0.0112409106207    5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.0112409106207    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.02404985    0.0141759503382    76.0    57.0    1.05433084904e-05  1.40577446539e-05  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             0.2509419     0.0426678331636    67.0    37.0    0.00270099483002   0.00489099063815   
atlas_1712_08119     SRI-MLL-05        4.0      3.1      1.2              0.1084463     0.0286482387607    6.5     5.5     0.00945587514345   0.0111751251695    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           0.0112409106207    2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             7.7360893     0.137538261641     61.0    48.0    0.12312338608      0.156469303144     
atlas_1807_07447     MET2e1j           15.0     16.5     3.4              0.21689456    0.00789272282323   9.9     10.7    0.0206010600576    0.019060793885     
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           0.0432821217366    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              8.39033725    0.282700445911     17.0    19.0    0.466276971689     0.417195185195     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0           0.0432821217366    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.02793675    0.0452413313481    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0    443.0    31.0             5.4090444     0.267870699436     96.0    73.0    0.0517680880513    0.0680785815469    
atlas_2004_10894     Cat4              17.0     12.8     1.4              0.07981765    0.0471191475122    13.1    9.0     0.000194064738936  0.000282472008896  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0332564     0.0432821217366    66.0    57.0    0                  0                  
atlas_2101_01629     4J_lx_bveto_1600  57.0     56.0     6.0              0.4017538     0.0775529509765    20.0    19.0    0.0137283480199    0.0144508926526    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0           0.0432821217366    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.0432821217366    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0156802175  0.00274236821647   20.0    10.2    0.00055913668125   0.00109634643382   
atlas_conf_2016_013  0J_6j_2b          9466.0   9000.0   2200.0           0.00257259    0.00122409843395   3717.0  3549.0  1.52022751768e-07  1.59219095047e-07  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.049395175   0.00925879464213   7.2     7.3     0.00475149330374   0.00468640435437   
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.10974989    0.0149334542609    20.0    19.0    0.00426295125061   0.0044873171059    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.00414138396191   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.59786683    0.033170839724     11.1    10.3    0.0489609597165    0.0527637527041    
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             5.138119365   0.0814433522656    17.7    24.6    0.282743065948     0.203437084036     
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            11.05872735   0.286043675359     1520.0  722.0   0.00696685244896   0.0146670577873    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.0248483054274    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0           0.0432821217366    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             1.1243878     0.181001074076     99.0    76.0    0.0083590508941    0.0108887636647    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            21.91758155   0.792056386964     1199.0  833.0   0.01719650465      0.0247522317832    
