analysis             sr                o       b       db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0   295.0   34.0             0.1581576275  0.0123410974881   49.0    63.0    0.00281465770652   0.00218917821618   
atlas_1605_09318     SR-Gbb-C          5.0     7.6     1.7              0.003285694   0.00178865397006  5.4     6.9     6.52410165016e-05  5.10581868273e-05  
atlas_1609_01599     3lZ1b4j           7.0     11.0    2.8              0.0           0.00146142705076  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0   765.0   59.0             0.993222945   0.105162902815    96.0    116.0   0.00854953942066   0.00707548089986   
atlas_1706_03731     Rpc2L0bH          3.0     2.4     1.0              0.0           0.0164867261611   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0     3.7     1.4              0.0           0.0164867261611   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0   179.0   26.0             0.0           0.0164867261611   76.0    57.0    0                  0                  
atlas_1712_02332     2j-2100           180.0   143.0   13.0             0.624218015   0.083541212441    67.0    37.0    0.00727179741189   0.0131678493675    
atlas_1712_08119     SRM-MT2-999       13.0    11.0    1.4              0.149080065   0.0311629687782   10.0    8.0     0.00979727962038   0.0122465995255    
atlas_1802_03158     SRaaSH            0.0     0.48    0.27613402543    0.0           0.0164867261611   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0   133.0   22.0             9.097337145   0.158548932511    61.0    48.0    0.14487404747      0.18411076866      
atlas_1807_07447     MET2e1j           15.0    16.5    3.4              0.245405234   0.00965315014589  9.9     10.7    0.0231892997738    0.0214555203515    
atlas_1908_03122     SRC26             4.0     3.7     0.9              0.0           0.0634807257138   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0    56.0    6.0              8.6071596     0.29018326603     17.0    19.0    0.478309355512     0.427961002301     
atlas_1909_08457     Rpc3LSS1b         4.0     3.5     1.5              0.0           0.0634807257138   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05    0.065   0.0222036033112  0.0279756     0.0648361106732   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0   443.0   31.0             5.1441569     0.291134922954    96.0    73.0    0.0486114127745    0.0639273373473    
atlas_2004_10894     Cat9              71.0    69.0    4.0              0.0093252     0.0634807257138   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0   276.0   24.0             0.0           0.0634807257138   66.0    57.0    0                  0                  
atlas_2101_01629     4J_lx_bveto_1600  57.0    56.0    6.0              0.431551      0.0967981841935   20.0    19.0    0.0136400988961    0.014357998838     
atlas_2103_11684     SR0-ZZtight       17.0    18.4    3.4              0.0           0.0634807257138   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0    22.7    1.9              0.0           0.0634807257138   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0    10.3    2.3              0.018027344   0.00340657052078  20.0    10.2    0.000622028417296  0.00121966356333   
atlas_conf_2016_013  1J_6j_3b-HM       215.0   184.0   56.0             0.0           0.00146142705076  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0     7.4     1.8              0.027575285   0.00747974594412  7.2     7.3     0.00212618078495   0.00209705502077   
atlas_conf_2016_054  GG2J              47.0    46.0    7.0              0.125387585   0.0206647678935   20.0    19.0    0.00457486828273   0.00481565082393   
atlas_conf_2016_066  SRL               3.0     0.78    0.18             0.0           0.00607405515552  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0    12.0    4.0              0.634454585   0.0395391178328   11.1    10.3    0.051316255113     0.0553019836655    
atlas_conf_2016_096  2LASF             56.0    70.0    12.0             5.63039858    0.0931461723417   17.7    24.6    0.309471121885     0.222668246234     
atlas_conf_2017_060  IM6               5097.0  4680.0  160.0            7.22623523    0.282580052251    692.0   350.0   0.00977283806981   0.0193222969837    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0     0.64    0.34             0.0053536     0.0364443538919   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0    46.0    5.0              0.0           0.0634807257138   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-2200-22    406.0   373.0   22.0             1.4533679     0.252807107916    85.0    58.0    0.0122207558002    0.0179097283279    
atlas_conf_2020_048  EM07              3986.0  3840.0  80.0             7.2702857     0.556173218205    310.0   197.0   0.0205101987811    0.0322749320921    
