analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.58390055    0.0495472817325   49.0    63.0    0.0102580205706  0.00797846044379  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.00627302667222  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00608293922924  6.0     8.7     0                0                 
atlas_1704_03848     SRI3             236.0    273.0    37.0             2.020104775   0.30998692828     47.0    64.0    0.0321643875026  0.0236207220722   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.0686231220613   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.0686231220613   7.22    6.137   0                0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.098450335   0.0837547969208   76.0    57.0    0                0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             1.57388353    0.274909097986    67.0    37.0    0.0167616807359  0.0303522326839   
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              1.310264985   0.251719447238    11.4    9.3     0.078723253643   0.0964994722075   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.0686231220613   2.97    2.9     0                0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             34.932395855  0.46780714179     61.0    48.0    0.56008511709    0.711774836301    
atlas_1807_07447     MET2m1j          17.0     16.0     5.0              0.480117976   0.0202399212654   13.0    13.0    0.0343788080865  0.0343788080865   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.264227503996    5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-0J-EXC120  57.0     51.0     5.0              29.2881912    0.713582212309    23.0    18.0    1.22251810312    1.5621064651      
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0092958     0.264227503996    6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0836622     0.265532425608    2.928   2.927   0                0                 
atlas_1911_12606     E-high-mm-10     9.0      11.0     2.0              2.7879265     0.719926628381    7.0     8.0     0.229606689922   0.200905853682    
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.2071271     0.264390971415    21.0    19.0    0                0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.1848895     0.264227503996    66.0    57.0    0                0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             3.3283143     0.772093147513    68.0    54.0    0.0303247285012  0.0381866951496   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.264227503996    10.4    11.1    0                0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.264227503996    13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.009416176   0.0062427118533   20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.000214004   0.00608293922924  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.03001401    0.0255994181764   7.2     7.3     0                0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.36516522    0.0801932425976   20.0    19.0    0.011682415107   0.01229727906     
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0252822048877   6.34    3.17    0                0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.63629976    0.0677611288828   11.1    10.3    0.0473127485254  0.0509875251099   
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              6.324267045   0.135327744706    11.9    13.0    0.51280080199    0.469409964899    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            40.52001325   1.39516880162     1520.0  722.0   0.0251525897469  0.0529528205199   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.151693160056    2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.264227503996    21.0    18.0    0                0                 
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0    22.0             3.7730754     0.837640363192    85.0    58.0    0.0282275906396  0.0413680207649   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            84.4864415    3.95740586104     1199.0  833.0   0.0650511225087  0.0936330082688   
