analysis             sr                o        b        db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.3938649785  0.0318717498569   49.0    63.0    0.00697133283132   0.00542214775769   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.00388686429595  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0002140445  0.00376908509764  6.0     8.7     0                  0                  
atlas_1704_03848     SRI3              236.0    273.0    37.0             1.36266296    0.199946144769    47.0    64.0    0.0220159847357    0.0161679887903    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.002414685   0.042519972679    5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.042519972679    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0290071     0.042519972679    76.0    57.0    0                  0                  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             0.755426285   0.150702482972    67.0    37.0    0.00758618228247   0.0137371408899    
atlas_1712_08119     SRI-MLL-20        34.0     29.0     6.0              0.9139523     0.166951031753    20.0    17.0    0.0320076303963    0.0376560357603    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.002414685   0.042519972679    2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             16.43396235   0.308946084586    61.0    48.0    0.261103127398     0.331818557735     
atlas_1807_07447     MET2e1j           15.0     16.5     3.4              0.283216469   0.0122865943934   9.9     10.7    0.0265723691106    0.0245856499247    
atlas_1908_03122     SRC24             12.0     10.6     2.3              0.3503785     0.202601106134    10.3    9.2     0.00175851319807   0.00196877021088   
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             21.8945179    0.621912691804    36.0    33.0    0.579849474596     0.632563063195     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.00929755    0.163719572827    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.06508285    0.165295992518    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0    443.0    31.0             6.13103855    0.495498888204    96.0    73.0    0.0554002122224    0.0728550736075    
atlas_2004_10894     Cat12             22.0     16.6     1.7              1.8964023     0.460967823248    15.2    9.9     0.0750273072285    0.115193441401     
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0           0.163719572827    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             2.77381275    0.544109645104    68.0    54.0    0.0276687195887    0.0348420913339    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0           0.163719572827    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.163719572827    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0074915575  0.00397035440541  20.0    10.2    4.90088137564e-05  9.60957132478e-05  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0           0.00376908509764  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.04488498    0.0164489419309   7.2     7.3     0.00248732156019   0.0024532486621    
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.2680838     0.0512189661213   20.0    19.0    0.00920423477806   0.00968866818743   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0156652331765   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.5468549     0.0477920788198   11.1    10.3    0.0422050352014    0.0454830961879    
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             7.11218118    0.135852849094    17.7    24.6    0.38923065014      0.280056199491     
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            26.65327657   0.885887467911    1520.0  722.0   0.0165792244228    0.0349036303637    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.0939916829941   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0           0.163719572827    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             5.0859142     0.756959006251    116.0   119.0   0.0331422537047    0.0323067347038    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            49.74084225   2.37269476978     1199.0  833.0   0.0382398855943    0.0550415640187    
