analysis             sr                o          b          db               s              ds              s95obs   s95exp   robscons          rexpcons          
atlas_1604_01306     SR1               264.0      295.0      34.0             1.340657478    0.500417445038  49.0     63.0     0.0106116911865   0.00825353758948  
atlas_1605_09318     SR-Gbb-A          0.0        1.3        0.4              0.0            0.275852709786  2.9      3.9      0                 0                 
atlas_1609_01599     3lZ1b4j           7.0        11.0       2.8              0.000866856    0.267493553771  6.0      8.7      0                 0                 
atlas_1704_03848     SRE1              1671.0     1900.0     140.0            15.046086225   5.64532786726   150.0    236.0    0.0385849901512   0.024524358147    
atlas_1706_03731     Rpc3L0bS          9.0        11.0       3.0              6.5964144      3.69558574816   8.0      9.0      0.0669567216268   0.0595170858905   
atlas_1708_07875     sr2-highmass      5.0        3.7        1.4              0.0            3.01766415117   7.22     6.137    0                 0                 
atlas_1709_04183     SRB-T0            206.0      179.0      26.0             0.007334415    3.01766613187   76.0     57.0     0                 0                 
atlas_1712_02332     6j-1200           250.0      249.0      30.0             4.27619922     3.69552428819   62.0     64.0     0                 0                 
atlas_1712_08119     SRI-MT2-999       277.0      289.0      33.0             49.33008972    10.2330487075   59.0     66.0     0.551659149826    0.493149846056    
atlas_1802_03158     SRaaSH            0.0        0.48       0.27613402543    0.002444805    3.01766415117   2.97     2.9      0                 0                 
atlas_1803_02762     S-3l-slep-b       3.0        2.8        0.4              10.36275414    4.26754397867   5.1      5.0      0.659604316663    0.672796402997    
atlas_1807_07447     1m2e1j            19.0       12.9       1.7              6.1937841975   1.07321636915   15.0     9.5      0.295580623473    0.466706247589    
atlas_1908_03122     SRC26             4.0        3.7        0.9              0.0            11.6192536077   5.8      5.4      0                 0                 
atlas_1908_08215     SR-SF-0J-INC100   147.0      144.0      12.0             27.732171      11.6304781749   36.0     33.0     0.240505188699    0.262369296763    
atlas_1909_08457     Rpc3LSS1b         4.0        3.5        1.5              0.056481       11.6192726738   6.5      5.9      0                 0                 
atlas_1911_06660     SRhighMass        0.05       0.065      0.0222036033112  0.169443       11.6193184325   2.928    2.927    0                 0                 
atlas_1911_12606     S-inc-30          419.0      388.0      28.0             157.928869     35.8126454236   91.0     69.0     1.09006736819     1.43762507979     
atlas_2004_10894     Cat12             22.0       16.6       1.7              24.739985      14.2293197654   15.2     9.9      0.0923618805703   0.141808139865    
atlas_2004_14060     SRB-T0            292.0      276.0      24.0             0.0282405      11.6192612341   66.0     57.0     0                 0                 
atlas_2101_01629     2J_bveto_1300     84.0       73.0       12.0             0.037654       11.6192650474   38.0     29.0     0                 0                 
atlas_2103_11684     SR0-ZZtight       17.0       18.4       3.4              0.0847215      11.6192841135   10.4     11.1     0                 0                 
atlas_2106_09609     SR9               25.0       22.7       1.9              0.0            11.6192536077   13.0     11.5     0                 0                 
atlas_conf_2015_082  SRZ               21.0       10.3       2.3              0.00975213     0.267497153017  20.0     10.2     0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0      184.0      56.0             0.190499784    0.267493729345  115.0    101.0    0                 0                 
atlas_conf_2016_050  bCbv              7.0        7.4        1.8              0.038439635    1.10342746274   7.2      7.3      0                 0                 
atlas_conf_2016_054  GG6J_high_mass    3.0        3.8        1.2              0.007016135    1.23716045153   5.0      5.6      0                 0                 
atlas_conf_2016_066  SRL               3.0        0.78       0.18             0.0            1.11177025833   6.34     3.17     0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0       12.0       4.0              14.36895496    3.33523552479   11.1     10.3     0.80172690985     0.863996961101    
atlas_conf_2016_096  2LASF             56.0       70.0       12.0             180.96954448   11.79253509     17.7     24.6     9.13162638036     6.57031654197     
atlas_conf_2017_060  EM2               67475.0    67100.0    1400.0           173.751122265  19.204415471    3032.0   2741.0   0.0469181665213   0.0518992633683   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0        0.64       0.34             0.0            6.67062155192   2.87     2.94     0                 0                 
atlas_conf_2019_020  SR-low            51.0       46.0       5.0              0.0847215      11.6192841135   21.0     18.0     0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-10  6986.0     6890.0     300.0            24.7351715     14.2319724576   652.0    581.0    0.00213916667112  0.00240057946569  
atlas_conf_2020_048  IM01              1357019.0  1340000.0  16000.0          3988.3146025   180.5692081     44539.0  30878.0  0.0828977098996   0.119573194547    
