analysis             sr                o         b         db               s             ds              s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             1.41116808    0.319785459753  49.0    63.0    0.0180963250205    0.0140749194604    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.10698761396   2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0019441215  0.103747321346  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            13.4050873    3.31051398939   194.0   284.0   0.0411125997804    0.0280839590049    
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0097476     1.17038859575   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           1.17038098481   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.0097476     1.17038859575   76.0    57.0    0                  0                  
atlas_1712_02332     5j-1600           122.0     119.0     12.0             3.3254464     1.65542331741   34.0    32.0    0.0179574164545    0.0190797549829    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             33.2450971    5.23381193455   59.0    66.0    0.417993991989     0.373661295869     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           1.17038098481   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              7.2936417     1.17794719176   8.4     9.0     0.63831051256      0.59575647839      
atlas_1807_07447     MET2m1j           17.0      16.0      5.0              3.135662281   0.447701540074  13.0    13.0    0.184725519637     0.184725519637     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           4.50644745041   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0      37.3      3.0              16.5611715    4.52364628469   14.1    14.4    0.648396566887     0.634888305077     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0281493     4.50646698739   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.1970451     4.5066428164    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             151.4268787   21.8459841841   96.0    73.0    1.20416108998      1.58355431011      
atlas_2004_10894     Cat9              71.0      69.0      4.0              12.748045     6.37402962211   21.0    19.0    0.10926840094      0.120770337881     
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0375324     4.50647675585   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_1300     84.0      73.0      12.0             3.2437886     4.5064962927    38.0    29.0    0                  0                  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0656817     4.50650606109   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           4.50644745041   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.1551865265  0.127081382202  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.2436004715  0.127068833467  3717.0  3549.0  9.47204321061e-06  9.92042395431e-06  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.03742431    0.427988488341  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.72970248    0.758824014701  20.0    19.0    0.0242615547945    0.0255384787311    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.431192547944  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              8.45823186    1.58431042902   11.1    10.3    0.52792457265      0.568928422952     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             47.799347285  3.65927511638   17.7    24.6    2.36147661549      1.69911122334      
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            69.9935724    7.58488794883   1355.0  1235.0  0.0424755396044    0.0466027175416    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00538685    2.58715387392   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0750648     4.50651582947   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             16.0180679    7.12578739822   141.0   120.0   0.0307218196235    0.0360981380577    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           272.8509903   29.3783869727   3986.0  2400.0  0.0563648860173    0.093612681527     
