analysis             sr                o         b         db               s             ds              s95obs   s95exp   robscons          rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             3.601079373   0.868623054334  49.0     63.0     0.044419133957    0.0345482152999  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.307235192999  2.9      3.9      0                 0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.000648309   0.297925224742  6.0      8.7      0                 0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            52.47946489   11.1476207905   194.0    284.0    0.176275086565    0.120413263358   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00487582    3.36096563583   5.6      5.1      0                 0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           3.36096475165   7.22     6.137    0                 0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00487582    3.36096563583   76.0     57.0     0                 0                
atlas_1712_02332     6j-1200           250.0     249.0     30.0             7.13560664    4.75184801467   62.0     64.0     0                 0                
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             164.17838735  19.739824169    59.0     66.0     2.23398433412     1.99704660171    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           3.36096475165   2.97     2.9      0                 0                
atlas_1803_02762     S-2l0j-SF-loose   153.0     133.0     22.0             26.65610794   3.37061764526   61.0     48.0     0.346365491832    0.440172812537   
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              3.95989416    0.896586556082  6.1      7.3      0.408113476725    0.341026329866   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           12.9411200157   5.8      5.4      0                 0                
atlas_1908_08215     SR-SF-1J-INC100   120.0     124.0     12.0             32.61965125   12.9529416806   29.0     32.0     0.39230437565     0.355525840433   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.04693475    12.9411336335   6.5      5.9      0                 0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.2252868     12.9411983178   2.928    2.927    0                 0                
atlas_1911_12606     E-inc-30          453.0     366.0     27.0             402.81217815  60.7021843803   142.0    70.0     2.13563799835     4.33229422523    
atlas_2004_10894     Cat9              71.0      69.0      4.0              9.1646239     12.9411234201   21.0     19.0     0                 0                
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0           12.9411200157   66.0     57.0     0                 0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             55.03550425   22.4106997762   68.0     54.0     0.268852303192    0.338554752168   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.15957815    12.9411744868   10.4     11.1     0                 0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           12.9411200157   13.0     11.5     0                 0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.007995811   0.297927889522  20.0     10.2     0                 0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0           0.29792506799   115.0    101.0    0                 0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.03387415    1.22895344236   7.2      7.3      0                 0                
atlas_conf_2016_054  GG6J_high_mass    3.0       3.8       1.2              0.0079958     1.37790319167   5.0      5.6      0                 0                
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           1.23825054402   6.34     3.17     0                 0                
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              9.7915865     2.90355401268   11.1     10.3     0.453131344072    0.488326011573   
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             21.2584872    3.8176261198    17.7     24.6     0.847320924493    0.609657738355   
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            135.8898397   17.9441850973   1355.0   1235.0   0.0785692812844   0.0862035434335  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           7.429503249     2.87     2.94     0                 0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.1689651     12.9411778912   21.0     18.0     0                 0                
atlas_conf_2019_040  MB-SSd-4-1000-10  7769.0    7570.0    260.0            36.60258695   18.2966043764   689.0    520.0    0.00957352071521  0.0126849149477  
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           2597.1441188  153.946970236   20140.0  13460.0  0.116418624013    0.174195474563   
