analysis             sr                o         b         db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             0.856393866   0.189143781393   49.0    63.0    0.0111468992758   0.00866981054786  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.0616783915703  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.001936656   0.0598124514671  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            9.17694807    2.07978334118    194.0   284.0   0.0297221824251   0.0203031809523   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00971018    0.674737723353   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           0.674724622637   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00971018    0.674737723353   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             1.968558625   1.06671867704    86.0    67.0    0.00254813947265  0.00327074618878  
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             22.108947515  3.23586682924    59.0    66.0    0.28478179517     0.254577665379    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.007282635   0.674733356476   2.97    2.9     0                 0                 
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              5.49007282    1.50946490526    5.1     5.0     0.591088308896    0.602910075074    
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              1.161061003   0.20790605808    6.1     7.3     0.134441814385    0.112341790103    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.00934705    2.59796611871    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160   37.0      37.3      3.0              14.6561744    2.62418226912    14.1    14.4    0.734220955932    0.718924686017    
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0373882     2.59801656192    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.08412345    2.59810063175    2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             64.0873517    10.7126770801    96.0    73.0    0.484568346757    0.637240565598    
atlas_2004_10894     Cat12             22.0      16.6      1.7              5.5489782     3.18217298905    15.2    9.9     0.0217246380238   0.0333549997941   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0186941     2.59798293322    66.0    57.0    0                 0                 
atlas_2101_01629     4J_lx_bveto_1000  393.0     383.0     27.0             12.0296164    4.49999990015    71.0    65.0    0.065487557236    0.0715325625193   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.02804115    2.59799974762    10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           2.59796611871    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.007101072   0.0598217406149  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.000645552   0.0598101289548  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.214443575   0.24678388547    7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.392018675   0.517503962111   20.0    19.0    0.0271656088569   0.0285953777441   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.248582885953   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              5.49142884    0.962852501845   11.1    10.3    0.352464030358    0.379839877376    
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             19.23153488   1.64992198356    17.7    24.6    0.93365326706     0.671774911665    
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            57.288735495  5.20481502212    1355.0  1235.0  0.0359799548773   0.0394759828816   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00536615    1.49149590109    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.12151165    2.59816788566    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22    2108.0    1969.0    100.0            9.39859715    4.10728221172    317.0   216.0   0.0083995404504   0.0123271033462   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           222.56812535  20.1243994962    3986.0  2400.0  0.0475574787196   0.0789850459068   
