analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             1.495848782   0.250233818342   49.0    63.0    0.0221523534677  0.0172296082527  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0616835513028  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.044881872   0.0598186261319  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            18.29682232   2.94144060213    194.0   284.0   0.0694477305799  0.0474396469454  
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              4.9896126     1.50897761896    8.0     9.0     0.314361163113   0.27943214499    
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.674780814      7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.0           0.674780814      76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             4.35712474    1.43140097703    86.0    67.0    0.0233677574147  0.0299944348905  
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             124.39310936  7.69367121686    59.0    66.0    1.89449980618    1.69356800855    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00242624    0.674780814      2.97    2.9     0                0                
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              9.68758872    2.02498789895    6.8     5.1     0.936265965548   1.24835462073    
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              3.721079396   0.391190400376   6.1     7.3     0.504840514653   0.421853032792   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           2.59818523081    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              14.4241252    2.62397220232    14.1    14.4    0.717787999163   0.702834082514   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.186841      2.59850431935    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0747364     2.59830279431    2.928   2.927   0                0                
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             336.4844033   24.785781338     96.0    73.0    3.08162210318    4.05254413569    
atlas_2004_10894     Cat9             71.0      69.0      4.0              3.67383       3.18195273548    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0           2.59818523081    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             38.81465125   8.41921591048    68.0    54.0    0.367752017012   0.463095132534   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.17749895    2.59848752619    10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           2.59818523081    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0109684935  0.0598337025115  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0002150685  0.0598143731327  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.201942805   0.24678233103    7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.32548136    1.01648795041    20.0    19.0    0.182922056066   0.192549532701   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.248603383344   6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              15.20381034   1.62074922589    11.1    10.3    1.13025059545    1.21803704947    
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             33.86936262   2.27253586492    17.7    24.6    1.70296066675    1.22530096754    
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            41.25404684   4.42479069043    582.0   410.0   0.0584147596352  0.0829204636773  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           1.49161959275    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.2055251     2.59853790534    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            12.9902637    4.86055042415    317.0   216.0   0.0158326845565  0.0232359305759  
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           389.2723617   26.6869941695    3986.0  2400.0  0.0866798021229  0.143960704693   
