analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             6.570428338    0.730698309272  49.0    63.0    0.1096343492     0.0852711604888  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.11912590165   2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.11551611099   6.0     8.7     0                0                
atlas_1704_03848     SRI2              729.0    765.0    59.0             38.86968993    5.97145064789   96.0    116.0   0.302880321536   0.250659576444   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            1.30316250326   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            1.30316250326   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.00480366     1.30316471664   76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0    378.0    28.0             12.93212196    3.44856560336   86.0    67.0    0.0846101670988  0.108604095082   
atlas_1712_08119     SRI-MLL-05        4.0      3.1      1.2              16.59823098    3.908852386     6.5     5.5     1.56734047184    1.85231146672    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            1.30316250326   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              11.0243997     1.31328042514   8.4     9.0     1.056026167      0.98562442253    
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           479.547214923  6.2626141183    5551.0  5525.0  0.084539097058   0.084936928103   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            5.01772842145   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             57.33791       5.07028370445   36.0    33.0    1.36174013124    1.48553468863    
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            5.01772842145   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.15721685     5.0178647784    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-05      0.0      3.9      1.3              35.48984805    11.2199665976   2.9     5.1     5.89279407928    3.35080447646    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.00924805     5.01772842145   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0            5.01772842145   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             17.9326149     8.6994727537    68.0    54.0    0.0539041115285  0.0678792515544  
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            5.01772842145   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            5.01772842145   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0031935675   0.115518857746  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0002129045   0.11551611099   115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.03425097     0.476534357711  7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.924142105    0.926282565427  20.0    19.0    0.020251934885   0.0213178261947  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.480113395202  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.015043045    0.4801264423    6.3     6.1     0                0                
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              6.90387277     0.486433163638  11.9    13.0    0.513119527868   0.469701721664   
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            331.68762393   17.4588537101   1520.0  722.0   0.199378357793   0.419743911143   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            2.88067965893   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            5.01772842145   21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             32.02094245    10.6459506438   99.0    76.0    0.147086700951   0.191599781502   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            675.6932285    48.9060824355   1199.0  833.0   0.496653255468   0.714870652228   
