analysis             sr               o         b         db               s            ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.755331185  0.101774553586   49.0    63.0    0.0120085901453    0.00934001455745   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0          0.0202029571053  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.002572452  0.0196036393766  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0     765.0     59.0             4.10889103   0.796879195792   96.0    116.0   0.0291875953011    0.0241552512836    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              1.07159635   0.383595902645   8.0     9.0     0.0553123837077    0.0491665632958    
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0          0.221008416409   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00483674   0.22102164744    76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             4.25814892   0.812093114313   86.0    67.0    0.0340269327038    0.043676361381     
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             48.41318529  2.74260287027    59.0    66.0    0.744327399708     0.665383584587     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0          0.221008416409   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              5.581709     0.828097735114   5.1     5.0     0.828162493022     0.844725742883     
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              1.339394309  0.131164312137   6.1     7.3     0.184308989688     0.15401162152      
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0          0.850973697192   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             17.72026025  0.9429083508     36.0    33.0    0.44927473763      0.490117895597     
atlas_1909_08457     Rpc2L0b          6.0       4.8       1.5              1.8246485    1.04279332161    7.5     7.0     0.0152623270072    0.016352493222     
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0558705    0.851228392826   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             115.9799585  8.27366515098    96.0    73.0    1.06678278805      1.40289243359      
atlas_2004_10894     Cat12            22.0      16.6      1.7              2.4234985    1.20251072846    15.2    9.9     0.0296961121929    0.0455940308417    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0          0.850973697192   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             14.0428385   2.88575240051    68.0    54.0    0.136914772988     0.172411195614     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.06518225   0.851279322809   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0          0.850973697192   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.078026911  0.0309944874673  20.0    10.2    0.00135979757768   0.00266626976016   
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.064196811  0.0277378187201  3717.0  3549.0  5.03276521361e-06  5.27100262017e-06  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.26233864   0.114497938263   7.2     7.3     0.0103558362845    0.0102139755135    
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.578210065  0.313917711098   20.0    19.0    0.05316925094      0.0559676325684    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0          0.0814240787105  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              7.9693715    0.664201940159   11.1    10.3    0.619827055688     0.667968962926     
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             15.4232496   0.832176690645   17.7    24.6    0.794264397025     0.571482919811     
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            39.55038237  2.47088358059    1520.0  722.0   0.0233540350644    0.0491663896092    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0          0.488544120072   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.1303645    0.851635747405   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            13.3322475   2.82274906294    317.0   216.0   0.0274540663621    0.0402913844295    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           206.7392395  11.0947674921    3986.0  2400.0  0.04730151049      0.0785599253388    
