analysis             sr               o        b        db               s            ds               s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.997040755  0.1299945031     49.0    63.0    0.0159969340799    0.0124420598399   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.0248907177352  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.00171588   0.0241430861249  6.0     8.7     0                  0                 
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            11.62985312  1.49147648278    194.0   284.0   0.0473393385992    0.032337435522    
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              0.88802734   0.385105070834   8.0     9.0     0.032056877979     0.028495002648    
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.272288973984   7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.00241966   0.272288973984   76.0    57.0    0                  0                 
atlas_1712_02332     3j-1300          405.0    378.0    28.0             4.45996108   0.923449770147   86.0    67.0    0.0342500401972    0.0439627381636   
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             71.3769066   3.69884056664    59.0    66.0    1.10696284866      0.989557698041    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.272288973984   2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             14.34616414  0.329921612086   61.0    48.0    0.226312995019     0.287606097837    
atlas_1807_07447     MET2m1j          17.0     16.0     5.0              1.422981871  0.14242785614    13.0    13.0    0.0914923220716    0.0914923220716   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0          1.04842416756    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             18.540233    1.12775893834    36.0    33.0    0.463630787253     0.50577904064     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.1024837    1.04883804475    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0465835    1.04858973804    2.928   2.927   0                  0                 
atlas_1911_12606     E-high-mm-30     3.0      8.3      1.4              16.3319051   3.47605718093    4.1     6.9     2.59296861543      1.54074946714     
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.742575     1.04842416756    21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0          1.04842416756    66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             29.8010239   4.68707680668    68.0    54.0    0.32520908731      0.40952255439     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0372668    1.04854834787    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          1.04842416756    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00900837   0.0241754573349  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.00042897   0.0241373690518  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.1673395    0.0996765250291  7.2     7.3     0.000537499854485  0.00053013684278  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              3.129877745  0.493131957807   20.0    19.0    0.11605706671      0.122165333379    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.100317102134   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              2.12723269   0.361938911094   11.1    10.3    0.138166925748     0.148898337457    
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             6.796695065  0.479280454824   17.7    24.6    0.33958616492      0.244336386955    
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            38.61523968  2.71640062678    582.0   410.0   0.0586947468249    0.0833179089075   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0          0.601901904257   2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.1583839    1.04908629269    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            20.8941255   3.9223797962     317.0   216.0   0.045619629761     0.0669510307141   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            138.9859122  10.1122103372    1199.0  833.0   0.10208664491      0.146941041113    
