analysis             sr                o         b         db               s             ds               s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             1.9342233315  0.184098263756   49.0    63.0    0.0333122893661  0.0259095583959   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.0257127148785  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0002150295  0.0249335245541  6.0     8.7     0                0                 
atlas_1704_03848     SRI2              729.0     765.0     59.0             10.2223181    1.42060804762    96.0    116.0   0.0822137593948  0.0680389732922   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0           0.281281412447   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           0.281281412447   7.22    6.137   0                0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.1986915     0.281281412447   76.0    57.0    0                0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             6.003042      1.089398226      86.0    67.0    0.049028243132   0.0629317747665   
atlas_1712_08119     SRI-MLL-20        34.0      29.0      6.0              30.4697383    2.46021485268    20.0    17.0    1.32174929708    1.55499917304     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           0.281281412447   2.97    2.9     0                0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0     133.0     22.0             17.089761     0.34723146562    61.0    48.0    0.270824613055   0.344172945758    
atlas_1807_07447     MET1g2j           38.0      43.0      10.0             1.1182771285  0.140376551797   18.0    20.0    0.0493366435307  0.0444029791776   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           1.08304908834    5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             22.85583645   1.17745046503    36.0    33.0    0.58124493576    0.634085384465    
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.00934035    1.08304908834    6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.04670175    1.08321018104    2.928   2.927   0                0                 
atlas_1911_12606     E-high-mm-10      9.0       11.0      2.0              28.35236535   4.65957604561    7.0     8.0     2.95866580503    2.5888325794      
atlas_2004_10894     Cat12             22.0      16.6      1.7              4.66019745    1.87598905963    15.2    9.9     0.104182591593   0.159957110324    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.765045      1.08304908834    66.0    57.0    0                0                 
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             22.3009185    4.12393979977    68.0    54.0    0.228494959241   0.287734393118    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0           1.08304908834    10.4    11.1    0                0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           1.08304908834    13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0221281695  0.0249520620472  20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0           0.0249335245541  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.031044825   0.102981101784   7.2     7.3     0                0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.16110541    0.415879978075   20.0    19.0    0.0739531122979  0.0778453813662   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.103630050115   6.34    3.17    0                0                 
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              0.236834475   0.104642491766   11.1    10.3    0.005875746712   0.00633211538866  
atlas_conf_2016_096  2LBSF             19.0      20.7      5.0              2.75621706    0.11489848167    11.9    13.0    0.215780130257   0.197521811543    
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            112.4739674   4.71514004683    1520.0  722.0   0.0689086432389  0.145070827871    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           0.621780299371   2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0           1.08304908834    21.0    18.0    0                0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             15.4155135    3.42625667514    116.0   119.0   0.0844521771791  0.0823231306956   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           590.44187145  21.2230048133    3986.0  2400.0  0.139396925127   0.231515059815    
