analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             1.896590826   0.167690963618   49.0    63.0    0.0330934213401   0.025739327709    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.0218742689633  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0           0.0212114283967  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            22.067865     1.92178851453    194.0   284.0   0.0975058342071   0.0666060980147   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0           0.239291560303   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.239291560303   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.684052385   0.338418042663   76.0    57.0    0.00169798414517  0.00226397886022  
atlas_1712_02332     2j-1200           582.0    517.0    31.0             6.819226695   1.07022744765    128.0   77.0    0.0395629193816   0.0657669309201   
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              5.591307885   0.972065628251   11.4    9.3     0.350624583743    0.429797876846    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           0.239291560303   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             21.662210095  0.331266773468   61.0    48.0    0.346212009615    0.439977762219    
atlas_1807_07447     MET2j             6771.0   6770.0   1800.0           69.522689184  1.02010336434    2712.0  2723.0  0.0250183332104   0.0249172675969   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.65123       0.921372072985   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC120   57.0     51.0     5.0              18.50824      1.01069194872    23.0    18.0    0.7326393567      0.936150289117    
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0           0.921372072985   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0932875     0.921797009686   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-10          244.0    200.0    19.0             35.90206125   4.83229104701    83.0    49.0    0.33707354136     0.570961304753    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0           0.921372072985   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.65172       0.921372072985   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             5.23929625    1.84254729015    38.0    29.0    0.0583557551094   0.0764661618675   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0           0.921372072985   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.921372072985   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.00429526    0.0212320756029  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0           0.0212114283967  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.04075117    0.0876988702892  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.20992718    0.286035853117   20.0    19.0    0.0370414190444   0.0389909674152   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0881602346731  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.24189731    0.0893719764964  11.1    10.3    0.00858804221134  0.0092550746161   
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              3.86767913    0.105942245083   11.9    13.0    0.310414609081    0.284148757543    
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            133.91853628  4.743769316      1520.0  722.0   0.0829860227643   0.174707416346    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.52895999353    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0           0.921372072985   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             24.18141      3.96321831703    116.0   119.0   0.152428723794    0.148585982858    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            274.426005    13.336002275     1199.0  833.0   0.21063799939     0.303187228414    
