analysis             sr                 o          b          db               s             ds                s95obs    s95exp    robscons           rexpcons           
atlas_1604_01306     SR1                264.0      295.0      34.0             0.338059129   0.0421329129436   49.0      63.0      0.0054890030974    0.00426922463131   
atlas_1605_09318     SR-Gbb-A           0.0        1.3        0.4              0.0           0.00785973412131  2.9       3.9       0                  0                  
atlas_1605_09318     SR-Gbb-B           0.0        1.5        0.6              0.0           0.00785973412131  3.0       3.8       0                  0                  
atlas_1605_09318     SR-Gbb-C           5.0        7.6        1.7              0.0167926035  0.00957130904671  5.4       6.9       0.000202899382109  0.000158790820781  
atlas_1605_09318     SR-Gtt-0L-A        1.0        2.1        0.5              0.0054621     0.00785973412131  3.5       4.4       0                  0                  
atlas_1605_09318     SR-Gtt-0L-B        1.0        2.9        1.8              0.0           0.00785973412131  3.6       4.6       0                  0                  
atlas_1605_09318     SR-Gtt-0L-C        1.0        3.4        1.8              0.0054621     0.00785973412131  3.4       5.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-A        2.0        1.2        0.6              0.000442207   0.00786284345612  4.7       4.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-B        0.0        1.2        0.8              0.000884414   0.00786905843992  2.9       3.5       0                  0                  
atlas_1609_01599     2muSS              9.0        5.5        1.6              0.000214403   0.00762159475743  10.4      7.4       0                  0                  
atlas_1609_01599     3lZ1b4j            7.0        11.0       2.8              0.000643209   0.00762762374133  6.0       8.7       0                  0                  
atlas_1609_01599     3lZ2b3j            4.0        2.8        0.5              0.000214403   0.00762159475743  6.3       5.1       0                  0                  
atlas_1609_01599     3lZ2b4j            8.0        7.2        0.9              0.000428806   0.00762460984529  7.9       6.9       0                  0                  
atlas_1609_01599     3lnoZ2b            10.0       7.7        2.2              0.002572836   0.00765469540589  10.2      8.3       0                  0                  
atlas_1609_01599     4lDF1b             2.0        1.1        0.1              0.0           0.00762159475743  4.7       3.9       0                  0                  
atlas_1609_01599     4lDF2b             0.9        1.0        0.1              0.0           0.00762159475743  3.0       3.0       0                  0                  
atlas_1609_01599     4lSF1b             1.0        1.1        0.1              0.001929627   0.00764568216824  3.6       4.0       0                  0                  
atlas_1609_01599     4lSF2b             1.0        0.9        0.1              0.0           0.00762159475743  3.6       3.0       0                  0                  
atlas_1704_03848     SRE1               1671.0     1900.0     140.0            2.18302617    0.360232472992    150.0     236.0     0.0106149660953    0.00674680048429   
atlas_1704_03848     SRE2               493.0      501.0      44.0             0.867641145   0.227483431197    86.0      90.0      0.00575079439346   0.00549520353153   
atlas_1704_03848     SRI1               2400.0     2600.0     160.0            3.81129087    0.475303204725    194.0     284.0     0.0156278021353    0.0106753296276    
atlas_1704_03848     SRI2               729.0      765.0      59.0             1.6282647     0.310073703858    96.0      116.0     0.0116639981841    0.00965296401443   
atlas_1704_03848     SRI3               236.0      273.0      37.0             0.760623555   0.210705933364    47.0      64.0      0.00883118775069   0.00648540350441   
atlas_1706_03731     Rpc2L0bH           3.0        2.4        1.0              0.059752      0.0859806551906   5.6       5.1       0                  0                  
atlas_1706_03731     Rpc2L0bS           7.0        6.0        1.8              0.19782041    0.10601153591     8.3       7.3       0.00288692663947   0.00328239604213   
atlas_1706_03731     Rpc2L1bH           13.0       9.8        2.6              0.069034205   0.0860486700943   11.9      9.6       0                  0                  
atlas_1706_03731     Rpc2L1bS           14.0       9.8        2.9              0.007256205   0.0860486700943   13.5      9.9       0                  0                  
atlas_1706_03731     Rpc2L2bH           0.0        1.08       0.32             0.0           0.0859806551906   3.02      3.6       0                  0                  
atlas_1706_03731     Rpc2L2bS           3.0        3.3        1.0              0.002418735   0.0859806551906   5.1       5.4       0                  0                  
atlas_1706_03731     Rpc2Lsoft1b        4.0        5.8        2.5              0.00483747    0.0860146693652   5.6       6.6       0                  0                  
atlas_1706_03731     Rpc2Lsoft2b        5.0        3.8        1.6              0.002418735   0.0859806551906   7.2       6.2       0                  0                  
atlas_1706_03731     Rpc3L0bH           3.0        3.3        0.8              0.133623675   0.0861166312799   5.2       5.5       0                  0                  
atlas_1706_03731     Rpc3L0bS           9.0        11.0       3.0              0.537237075   0.162746649683    8.0       9.0       0.03379157119      0.0300369521689    
atlas_1706_03731     Rpc3L1bH           4.0        3.9        0.9              0.002418735   0.0859806551906   5.7       5.7       0                  0                  
atlas_1706_03731     Rpc3L1bS           20.0       17.0       4.0              0.135649675   0.105983939665    14.0      12.0      0                  0                  
atlas_1706_03731     Rpc3LSS1b          1.0        1.6        0.8              0.0           0.0859806551906   3.8       4.2       0                  0                  
atlas_1706_03731     Rpv2L0b            2.0        1.0        0.4              0.0           0.0859806551906   4.8       4.1       0                  0                  
atlas_1706_03731     Rpv2L1bH           2.0        1.6        0.4              0.0           0.0859806551906   4.4       4.0       0                  0                  
atlas_1706_03731     Rpv2L1bM           9.0        4.8        1.6              0.0           0.0859806551906   11.2      7.3       0                  0                  
atlas_1706_03731     Rpv2L1bS           26.0       25.0       7.0              0.064196735   0.0859806551906   17.0      16.0      0                  0                  
atlas_1706_03731     Rpv2L2bH           1.0        1.6        0.5              0.0           0.0859806551906   3.7       4.0       0                  0                  
atlas_1706_03731     Rpv2L2bS           20.0       19.0       7.0              0.002418735   0.0859806551906   16.0      15.0      0                  0                  
atlas_1708_07875     sr1-lowmass        10.0       14.0       6.0              0.00483747    0.0860146693652   9.386     11.191    0                  0                  
atlas_1708_07875     sr2-highmass       5.0        3.7        1.4              0.0           0.0859806551906   7.22      6.137     0                  0                  
atlas_1709_04183     SRA-T0             18.0       18.7       2.7              0.002418735   0.0859806551906   10.4      10.8      0                  0                  
atlas_1709_04183     SRA-TT             11.0       8.6        2.1              0.0           0.0859806551906   10.6      8.3       0                  0                  
atlas_1709_04183     SRA-TW             9.0        9.3        2.2              0.061778      0.0859806551906   8.1       8.3       0                  0                  
atlas_1709_04183     SRB-T0             206.0      179.0      26.0             0.250316205   0.121619062704    76.0      57.0      0.000669222923229  0.000892297230972  
atlas_1709_04183     SRB-TT             38.0       39.3       7.6              0.002418735   0.0859806551906   17.9      19.3      0                  0                  
atlas_1709_04183     SRB-TW             53.0       52.4       7.4              0.12153       0.0859806551906   20.7      20.5      0                  0                  
atlas_1709_04183     SRC1               20.0       20.5       6.6              0.0           0.0859806551906   14.1      14.9      0                  0                  
atlas_1709_04183     SRC2               22.0       27.6       4.9              0.0           0.0859806551906   10.4      13.5      0                  0                  
atlas_1709_04183     SRC3               22.0       18.9       3.4              0.0           0.0859806551906   14.3      12.7      0                  0                  
atlas_1709_04183     SRC4               1.0        7.7        1.2              0.0           0.0859806551906   5.2       6.8       0                  0                  
atlas_1709_04183     SRC5               0.0        0.9        0.7              0.0           0.0859806551906   3.0       3.2       0                  0                  
atlas_1709_04183     SRD-high           11.0       8.5        1.5              0.0           0.0859806551906   9.9       7.7       0                  0                  
atlas_1709_04183     SRD-low            27.0       25.1       6.2              0.0           0.0859806551906   16.7      15.9      0                  0                  
atlas_1709_04183     SRE                3.0        3.6        0.8              0.0           0.0859806551906   4.8       5.5       0                  0                  
atlas_1712_02332     2j-1200            582.0      517.0      31.0             1.18535829    0.264362233918    128.0     77.0      0.00587347051855   0.00976369125162   
atlas_1712_02332     2j-1600            204.0      216.0      18.0             0.195401675   0.105983939665    38.0      43.0      0.00056810563023   0.000502046836017  
atlas_1712_02332     2j-2000            70.0       88.0       9.0              0.06661547    0.0860146693652   15.0      24.0      0                  0                  
atlas_1712_02332     2j-2100            180.0      143.0      13.0             0.267640085   0.120796435647    67.0      37.0      0.00103781985879   0.00187929541997   
atlas_1712_02332     2j-2400            33.0       40.0       4.0              0.002418735   0.0859806551906   11.0      15.0      0                  0                  
atlas_1712_02332     2j-2800            17.0       15.5       1.9              0.0           0.0859806551906   10.7      9.7       0                  0                  
atlas_1712_02332     2j-3600            5.0        3.3        0.8              0.0           0.0859806551906   7.0       5.3       0                  0                  
atlas_1712_02332     2j-B1600           23.0       21.0       4.0              0.0           0.0859806551906   14.0      13.0      0                  0                  
atlas_1712_02332     2j-B2400           2.0        3.9        1.0              0.0           0.0859806551906   4.1       5.6       0                  0                  
