analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             1.0652686935  0.101937300632   49.0    63.0    0.0183283983768   0.0142554209597   
atlas_1605_09318     SR-Gbb-C         5.0       7.6       1.7              0.0408801735  0.0203307090832  5.4     6.9     0.0013958908525   0.00109243631935  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0           0.0139412031835  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            13.1383179    1.20268833216    194.0   284.0   0.0575562321405   0.03931658111     
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0024206     0.157273945016   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.157273945016   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.0024206     0.157273945016   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             2.9341498     0.566983720233   86.0    67.0    0.0233057732421   0.0299148731167   
atlas_1712_08119     SRI-MLL-20       34.0      29.0      6.0              21.7358859    1.55242833322    20.0    17.0    0.959495171676    1.12881784903     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0           0.157273945016   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             7.0488941     0.203769479492   61.0    48.0    0.11007724842     0.139889836534    
atlas_1807_07447     MET1g1j          106.0     103.0     21.0             1.364638233   0.115734343925   44.0    40.0    0.0267007706582   0.0293708477241   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           0.6055706687     5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             9.1152534     0.672001386206   36.0    33.0    0.222588086851    0.242823367473    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0           0.6055706687     6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0186406     0.605642388528   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             95.2347191    6.37814092892    130.0   63.0    0.652112061358    1.34562806312     
atlas_2004_10894     Cat11            6.0       8.6       1.2              1.712605      0.85635553457    5.6     7.4     0.0550324863045   0.0416462058521   
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0           0.6055706687     66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             14.0090421    2.42432786462    68.0    54.0    0.147546241206    0.185798970408    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0186406     0.605642388528   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           0.6055706687     13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.005149644   0.0139791293703  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0           0.0139412031835  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.069961635   0.0577249888722  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.97314086    0.295829516699   20.0    19.0    0.0743990226307   0.0783147606639   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.0579431068408  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.196196      0.059427063834   11.1    10.3    0.00889510047859  0.00958598206916  
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             2.80917       0.0765625634963  17.7    24.6    0.151616237055    0.109089731539    
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            68.2058764    2.73771059961    1520.0  722.0   0.0419184414583   0.0882493504386   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.347658641045   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0           0.6055706687     21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            21.2386583    2.99985937177    317.0   216.0   0.0514791448905   0.0755504117143   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           355.3627425   12.2827612412    3986.0  2400.0  0.0840991003674   0.139674589194    
