analysis             sr               o         b         db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.222779107   0.0193869654151   49.0    63.0    0.00389764252488   0.00303149974158   
atlas_1605_09318     SR-Gbb-C         5.0       7.6       1.7              0.012704015   0.00481853549536  5.4     6.9     0.000889188294003  0.000695886490959  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000428958   0.00253837536604  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            2.58205602    0.22163074325     194.0   284.0   0.0114359876344    0.00781190704602   
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              0.13344869    0.0417783083461   8.0     9.0     0.00811653303906   0.00721469603472   
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.0285336489866   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.04494799    0.0286360535768   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             1.001109955   0.138200964898    86.0    67.0    0.00900535316938   0.0115591100383    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             4.96997077    0.300290161261    59.0    66.0    0.0758897441616    0.067840831902     
atlas_1802_03158     SRaaWH           1.0       2.05      0.640078120232   0.06359584    0.0341725895138   3.53    4.4     0.00213960147236   0.00171654390851   
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             0.87042339    0.0571935794222   61.0    48.0    0.0127315724549    0.0161797066614    
atlas_1807_07447     MET1g1j          106.0     103.0     21.0             0.5373937395  0.0306971636908   44.0    40.0    0.0110693270693    0.0121762597762    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.071802      0.109866367769    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.92232855    0.143445635507    17.0    19.0    0.0404163357511    0.0361619846194    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00931645    0.109866367769    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.00931645    0.109866367769    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-20         328.0     312.0     24.0             10.93160615   0.829522721359    69.0    59.0    0.13871288242      0.162223540457     
atlas_2004_10894     Cat12            22.0      16.6      1.7              0.95456235    0.268632320988    15.2    9.9     0.033816141025     0.0519197316747    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0826335     0.109866367769    66.0    57.0    0                  0                  
atlas_2101_01629     2J_disc_squark   106.0     86.0      12.0             3.3312382     0.499566065516    46.0    31.0    0.0546076054903    0.081030640405     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0           0.109866367769    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           0.109866367769    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.016776105   0.00505926385774  20.0    10.2    0.000423945613666  0.000831265909148  
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.000214479   0.0025292979772   115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.016809775   0.0110880062224   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              0.993322725   0.0873599651056   20.0    19.0    0.0425026191113    0.0447395990646    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.0105123782623   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.38674055    0.0470323508894   11.1    10.3    0.0278925670758    0.0300589800526    
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             1.15633826    0.0717178162825   17.7    24.6    0.058684804593     0.042224432573     
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            11.070776895  0.450538090222    1520.0  722.0   0.00679729896516   0.0143101030845    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.063074416766    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0           0.109866367769    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            4.1184175     0.539648786808    317.0   216.0   0.0101999794626    0.0149694143039    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           54.8351261    1.98923712057     3986.0  2400.0  0.012938478982     0.0214886571759    
