analysis             sr               o        b        db               s            ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.152751396  0.0135138986128   49.0    63.0    0.00266507351582   0.00207283495675   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.00192313899971  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0          0.0018648606665   6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             0.84216558   0.104623771339    96.0    116.0   0.00698523536462   0.00578088443969   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0          0.0210379805771   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.0210379805771   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.04759686   0.0250249963963   76.0    57.0    8.62613935535e-05  0.000115015191405  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             1.0154241    0.119582461583    86.0    67.0    0.00952684724424   0.0122284904926    
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             3.09132804   0.201507814743    59.0    66.0    0.046794156336     0.0418311397549    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.0210379805771   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             2.30372904   0.108117771996    61.0    48.0    0.0348592769496    0.0443003311235    
atlas_1807_07447     MET2e1j          15.0     16.5     3.4              0.187653376  0.0123813601916   9.9     10.7    0.0169038328571    0.0156399948865    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0          0.08100480239     5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              2.150841     0.162793009187    17.0    19.0    0.110815321467     0.0991505507859    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0          0.08100480239     6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0          0.08100480239     2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             7.4376585    0.548050471304    96.0    73.0    0.0681130804902    0.0895733661241    
atlas_2004_10894     Cat12            22.0     16.6     1.7              0.2112005    0.0976967785715   15.2    9.9     0.00335380152255   0.00514927102452   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.102686     0.095905587216    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             2.8898105    0.3865382542      68.0    54.0    0.0331748200458    0.0417756993169    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0          0.08100480239     10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.08100480239     13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.023473472  0.0053762718666   20.0    10.2    0.000732819306939  0.00143690060184   
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0   2200.0           0.008173759  0.003132312238    3717.0  3549.0  8.1699406233e-07   8.5566833747e-07   
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.027254155  0.0101191133448   7.2     7.3     0.0014803901548    0.00146011083761   
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.494069515  0.0506664395602   20.0    19.0    0.0205488277061    0.0216303449537    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.00775081986204  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.73287932   0.0571724027235   11.1    10.3    0.0575780702282    0.0620501533528    
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             2.591243465  0.0920453363804   17.7    24.6    0.137869441431     0.0991987444446    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            11.61655164  0.397144248957    1520.0  722.0   0.00721397044192   0.0151873061935    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0          0.0465050327559   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0          0.08100480239     21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            4.1742535    0.468869494912    317.0   216.0   0.0107422950421    0.0157653126312    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            23.046454    1.10681371521     1199.0  833.0   0.0177074891635    0.0254877305007    
