analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.272259149   0.0234217567966   49.0    63.0    0.00477239730313   0.0037118645691    
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.006730367   0.00376717611463  5.4     6.9     0.000102258920741  8.00287205801e-05  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00302335285488  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            3.12916726    0.266451655186    194.0   284.0   0.0138772502345    0.00947953008977   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.0341071798047   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.0341071798047   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.00241648    0.0341071798047   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             1.00024868    0.152455359966    86.0    67.0    0.00872351034484   0.0111973416367    
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             4.6143698     0.322861286569    59.0    66.0    0.0692352083055    0.0618920801519    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.0341071798047   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             7.56744816    0.210044162932    61.0    48.0    0.118409438242     0.1504786611       
atlas_1807_07447     MET2e1j          15.0     16.5     3.4              0.2089246275  0.0145316306344   9.9     10.7    0.018696237703     0.0172983881551    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.131327105603    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             9.58937405    0.372596002692    36.0    33.0    0.249397683488     0.272070200169     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0           0.131327105603    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0186089     0.131656300479    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             9.3216082     0.805974330469    96.0    73.0    0.0833313572712    0.109586442439     
atlas_2004_10894     Cat12            22.0     16.6     1.7              0.2223433     0.132312233129    15.2    9.9     0.000352055109816  0.000540529057495  
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0           0.131327105603    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             2.140409      0.428786854718    68.0    54.0    0.0211352729156    0.026614788116     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.131327105603    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.131327105603    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.009135526   0.00387234668585  20.0    10.2    0.00013924387176   0.00027302719953   
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.00302335285488  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.02208975    0.0132011758653   7.2     7.3     6.10863306737e-05  6.02495316234e-05  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.40772159    0.0584623282093   20.0    19.0    0.0155921685868    0.0164128090388    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0125657968814   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.60615132    0.0603568902605   11.1    10.3    0.04569063243      0.0492394194148    
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             3.7460123     0.0965157756344   17.7    24.6    0.202696408359     0.145842537722     
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            17.78797646   0.637943144221    1520.0  722.0   0.0110143090154    0.0231880189799    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.0753948558533   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.131327105603    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            5.34788245    0.684658703467    317.0   216.0   0.0133282087581    0.0195603804459    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            34.42101      1.7461547422      1199.0  833.0   0.0263196965995    0.0378839330406    
