analysis             sr               o         b         db               s              ds              s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             1.344542594    0.501992361087  49.0    63.0    0.0106382677922    0.00827420828281   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.276692765536  2.9     3.9     0                  0                  
atlas_1609_01599     3lnoZ2b          10.0      7.7       2.2              0.962779029    0.424200290708  10.2    8.3     0.0261853482586    0.032179584607     
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            17.2947091     6.05437143646   194.0   284.0   0.0379667007434    0.0259349998036    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              8.90088794     4.78716740221   8.0     9.0     0.131241675046     0.116659266708     
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            3.02684960874   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00487026     3.02685058829   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             8.59774695     4.28062077228   86.0    67.0    0.01834335911      0.0235452072158    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             148.04004489   17.7771013812   59.0    66.0    2.01501014618      1.80129694886      
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            3.02684960874   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              33.51893467    8.00931257573   5.1     5.0     3.99679647957      4.07673240916      
atlas_1807_07447     3m1j             18.0      21.8      2.5              21.703058458   2.02296359281   8.8     11.1    2.08924979157      1.6563421771       
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            11.6546448413   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             31.92613125    11.6674764131   36.0    33.0    0.355318609236     0.387620300985     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.29066375     11.6547579897   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.23440625     11.6547353601   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-30         419.0     388.0     28.0             562.39928875   67.9611590643   91.0    69.0    4.95541744928      6.53540562152      
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.0            11.6546448413   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00937625     11.6546448413   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             33.144875      16.4787294493   68.0    54.0    0.0899964515165    0.113328864873     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.27191125     11.6547504465   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            11.6546448413   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.5788010425   0.328566038035  20.0    10.2    0.00199763700613   0.00391693530613   
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.956143334    0.424127077202  3717.0  3549.0  7.01035586193e-05  7.34220702699e-05  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              1.59815517     1.10678395568   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.2832767      2.14874205427   20.0    19.0    0.0879669865495    0.0925968279469    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            1.1151538159    6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              45.244371235   5.95274057791   11.1    10.3    3.19656546732      3.44484239682      
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             342.562925145  16.3131389672   17.7    24.6    17.8423376971      12.8377795626      
atlas_conf_2017_060  IM6              5097.0    4680.0    160.0            57.98882066    11.1215480319   692.0   350.0   0.0574414478146    0.113569948251     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            6.69093704048   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.23440625     11.6547353601   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            24.7760075     14.2719739247   317.0   216.0   0.00432167275557   0.00634245492369   
atlas_conf_2020_048  EM03             141036.0  139200.0  1600.0           867.2672675    84.4409216602   4667.0  3172.0  0.156156879361     0.229755408568     
