analysis             sr               o         b         db               s              ds              s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             2.4776922315   0.502631443571  49.0     63.0     0.0337423808988    0.0262440740324    
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.149632446166  2.9      3.9      0                  0                  
atlas_1609_01599     3lnoZ2b          10.0      7.7       2.2              0.627255831    0.251322042526  10.2     8.3      0.0210870275742    0.0259141784647    
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            26.78195876    5.55094440478   194.0    284.0    0.0911258244132    0.0622479223104    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              4.93911072     2.31507269172   8.0      9.0      0.142798938197     0.126932389509     
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.63689037441   7.22     6.137    0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00487072     1.63689218607   76.0     57.0     0                  0                  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             5.82875612     2.58820332211   86.0     67.0     0.0184197985087    0.0236433234589    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             109.15162184   11.2219971613   59.0     66.0     1.5380940084       1.37496282569      
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            1.63689037441   2.97     2.9      0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              46.1508214     7.04121719643   5.1      5.0      6.78494611723      6.92064503957      
atlas_1807_07447     3m1j             18.0      21.8      2.5              14.9111029895  1.23077479994   8.8      11.1     1.46507185427      1.16149840699      
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            6.30270429006   5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             29.7255655     6.32477149971   36.0     33.0     0.537581673347     0.58645273456      
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.1687887      6.30282287503   6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.1312801      6.30279497288   2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             465.77150745   45.4494493596   96.0     73.0     4.07535844271      5.3593754863       
atlas_2004_10894     Cat9             71.0      69.0      4.0              4.45699        6.30270429006   21.0     19.0     0                  0                  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00937715     6.30270429006   66.0     57.0     0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             26.93638015    10.9164234334   68.0     54.0     0.132844789988     0.167286031837     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.1500344      6.30280892397   10.4     11.1     0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            6.30270429006   13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.112522819    0.145105345276  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           1.036791325    0.324452489063  3717.0   3549.0   0.000135778650238  0.000142206041966  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.4499687      0.598549348441  7.2      7.3      0                  0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              2.87410161     1.1623532515    20.0     19.0     0.0483921138769    0.0509390672388    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.603064111874  6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              44.66810216    4.34877945885   11.1     10.3     3.38163097725      3.64428192694      
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             229.930975405  9.79883205768   17.7     24.6     12.0825362051      8.69353214758      
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            138.24461524   12.6262531591   1355.0   1235.0   0.0867435867594    0.0951721134081    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            3.61838608535   2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.187543       6.30283682605   21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-C-2-2200-16   107.0     113.0     7.0              13.3884843     7.71902862255   22.0     25.0     0.0331489708643    0.0291710943606    
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           2642.99906265  108.344310052   20140.0  13460.0  0.122408857704     0.183158573118     
