analysis             sr               o         b         db               s             ds              s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             1.5491998975  0.372860632425  49.0     63.0     0.0191369073535  0.014884261275   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.131906768673  2.9      3.9      0                0                
atlas_1609_01599     3lnoZ2b          10.0      7.7       2.2              0.462074387   0.202211215897  10.2     8.3      0.0127890189146  0.0157166256541  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            20.54131356   4.56272598279   194.0    284.0    0.0673115615888  0.0459804329163  
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              6.38197781    2.50019012511   8.0      9.0      0.285208250603   0.25351844498    
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           1.44298130711   7.22     6.137    0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             1.023694885   1.44298130711   76.0     57.0     0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             5.14157816    2.28198271121   86.0     67.0     0.0162689129491  0.020882485278   
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             177.90623275  13.4593869823   59.0     66.0     2.64123454405    2.36110360756    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.002434885   1.44298130711   2.97     2.9      0                0                
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              15.70857284   3.81870934473   6.8      5.1      1.38910139921    1.85213519895    
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              6.317935683   0.748146486829  6.1      7.3      0.834586138459   0.697393896521   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0093753     5.55607342069   5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              18.9006048    5.57198912418   14.1     14.4     0.692378910379   0.677954349746   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.1968813     5.55623161694   6.5      5.9      0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.1593801     5.55619997805   2.928    2.927    0                0                
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             548.0774886   46.3189629042   96.0     73.0     4.9178582233     6.46732040325    
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.0           5.55607342069   21.0     19.0     0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0           5.55607342069   66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             35.5848369    11.7898249996   68.0     54.0     0.238963586775   0.300917109273   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.3000096     5.55631862296   10.4     11.1     0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0093753     5.55607342069   13.0     11.5     0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.010791725   0.127918409354  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0           0.127909486785  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.398570635   0.52764810728   7.2      7.3      0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              2.959497785   1.1069031969    20.0     19.0     0.0572088271041  0.0602198180043  
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.531624003976  6.34     3.17     0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              26.53668694   3.14507630271   11.1     10.3     1.9260145769     2.07560794209    
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             104.51267618  6.12003087765   17.7     24.6     5.33761726218    3.84048071303    
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            94.297384875  9.78681445724   1520.0   722.0    0.0514782955034  0.108375358954   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.00538235    3.1897433161    2.87     2.94     0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.2437578     5.5562711653    21.0     18.0     0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            31.530683     11.1146769721   317.0    216.0    0.0419640781256  0.0615861702121  
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           2722.7622471  103.273512298   20140.0  13460.0  0.126782208884   0.189702354155   
