analysis             sr                o         b         db               s              ds              s95obs  s95exp  robscons        rexpcons        
atlas_1604_01306     SR1               264.0     295.0     34.0             12.4117215605  1.57193200026   49.0    63.0    0.200688838369  0.156091318731  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.291167268719  2.9     3.9     0               0               
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0            0.28234398591   6.0     8.7     0               0               
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            146.74570463   18.157170899    194.0   284.0   0.602927548225  0.411858958999  
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0            3.18518879388   5.6     5.1     0               0               
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            3.18518879388   7.22    6.137   0               0               
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             4.50697129     3.18518879388   76.0    57.0    0               0               
atlas_1712_02332     2j-1200           582.0     517.0     31.0             27.06899564    7.80290077417   128.0   77.0    0.111501862268  0.18535374507   
atlas_1712_08119     SRI-MLL-05        4.0       3.1       1.2              13.53346403    5.51805599107   6.5     5.5     0.689823416099  0.815245855389  
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0            3.18518879388   2.97    2.9     0               0               
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              14.52516098    3.19073803713   8.4     9.0     1.10623221418   1.0324833999    
atlas_1807_07447     MET1j             18952.0   18500.0   3200.0           842.236963466  12.980594287    5551.0  5525.0  0.147892053474  0.148588016079  
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            12.2642781102   5.8     5.4     0               0               
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             62.6821715     12.2882234414   36.0    33.0    1.18137458489   1.28877227443   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0            12.2642781102   6.5     5.9     0               0               
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.14071125     12.2643283364   2.928   2.927   0               0               
atlas_1911_12606     E-inc-05          151.0     138.0     18.0             95.46471525    28.7639120743   51.0    42.0    0.94689998918   1.14980712972   
atlas_2004_10894     Cat9              71.0      69.0      4.0              0.0            12.2642781102   21.0    19.0    0               0               
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             8.68693075     12.2642781102   66.0    57.0    0               0               
atlas_2101_01629     2J_bveto_1300     84.0      73.0      12.0             8.72445375     12.2642924605   38.0    29.0    0               0               
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0            12.2642781102   10.4    11.1    0               0               
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            12.2642781102   13.0    11.5    0               0               
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0053989875   0.282345968103  20.0    10.2    0               0               
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0            0.28234398591   115.0   101.0   0               0               
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.04275984     1.16468155119   7.2     7.3     0               0               
atlas_conf_2016_054  GG6J_high_mass    3.0       3.8       1.2              0.00099881     1.30584301226   5.0     5.6     0               0               
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.1734902368    6.34    3.17    0               0               
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.01436128     1.17349538585   6.3     6.1     0               0               
atlas_conf_2016_096  2LBSF             19.0      20.7      5.0              7.36284874     1.17630237439   11.9    13.0    0.456614524874  0.417977911231  
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            626.83246458   37.5508160838   1355.0  1235.0  0.417158026718  0.457691600164  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            7.0409484875    2.87    2.94    0               0               
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0            12.2642781102   21.0    18.0    0               0               
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             69.5301305     24.5362097138   116.0   119.0   0.252506435943  0.246140727474  
atlas_conf_2020_048  EM03              141036.0  139200.0  1600.0           2881.67722175  158.014198664   4667.0  3172.0  0.561931419743  0.826776146261  
