analysis             sr                o         b         db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             1.224467326   0.204943706954   49.0    63.0    0.018129788706     0.0141009467713    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.0505247719225  2.9     3.9     0                  0                  
atlas_1609_01599     3lnoZ2b           10.0      7.7       2.2              0.2561455105  0.0917094907752  10.2    8.3     0.0103668574146    0.0127399934492    
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            13.40465765   2.2785585474     194.0   284.0   0.0498341321251    0.0340416254657    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              1.75149645    0.874638805095   8.0     9.0     0.0396361012055    0.0352320899605    
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           0.552710264114   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             1.9558825     0.957896055251   76.0    57.0    0.00506490749195   0.00675320998927   
atlas_1712_02332     3j-1300           405.0     378.0     28.0             3.16780945    1.10545513068    86.0    67.0    0.0157542213451    0.0202218363534    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             54.5289909    4.60786051984    59.0    66.0    0.79613728216      0.711698479507     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0048517     0.552715587626   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              11.0147329    1.91566159224    5.1     5.0     1.54373488014      1.57460957774      
atlas_1807_07447     MET2m1j           17.0      16.0      5.0              3.732647879   0.342356313641   13.0    13.0    0.243937194202     0.243937194202     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           2.12816176523    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0      37.3      3.0              14.22565765   2.15913425235    14.1    14.4    0.757778544407     0.741991491399     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.04670275    2.12824375542    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  1.6369577     2.1284282218     2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             156.92383775  15.2740848219    96.0    73.0    1.37369102752      1.80649778962      
atlas_2004_10894     Cat9              71.0      69.0      4.0              6.02863055    3.00966073705    21.0    19.0    0.0520374733925    0.0575151021707    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             4.51857       3.01102791937    66.0    57.0    0                  0                  
atlas_2101_01629     4J_lx_bveto_1000  393.0     383.0     27.0             12.8605484    4.25718435699    71.0    65.0    0.0827995218948    0.0904425546851    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0747244     2.12830524599    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           2.12816176523    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0092464405  0.0490135090284  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.158849799   0.0693496911097  3717.0  3549.0  1.21378277052e-05  1.27123994309e-05  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.038141645   0.202180897262   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.27370343    0.599458840708   20.0    19.0    0.0645295465619    0.0679258384863    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.203630059924   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              14.202900775  1.41811386448    11.1    10.3    1.07001748083      1.15312563469      
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             47.23530113   2.49879701979    17.7    24.6    2.43713412529      1.75354772429      
atlas_conf_2017_060  IM4               41523.0   39900.0   1000.0           87.6738484    5.82358295494    3268.0  2001.0  0.0239054994963    0.0390420651444    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           1.22177965304    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.14010825    2.12844871708    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-GGd-4-1000-16  240.0     256.0     14.0             6.08193885    3.00837993749    32.0    41.0    0.0358811172661    0.0280047744516    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           223.2437799   18.2454191516    3986.0  2400.0  0.0485000733797    0.0805505385381    
