analysis             sr               o         b         db               s            ds              s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             3.239056925  0.480442684939  49.0    63.0    0.0500230800347   0.038906840027   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0          0.104443818827  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.003019226  0.101281432532  6.0     8.7     0                 0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            35.7391833   5.35968662868   194.0   284.0   0.138913903242    0.0948918916513  
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              2.6397181    1.39921791157   8.0     9.0     0.0431250906277   0.0383334138913  
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0          1.14254949723   7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.0097316    1.14255726799   76.0    57.0    0                 0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             4.870709     1.97854166894   86.0    67.0    0.0189058216621   0.0242671740738  
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             143.3005767  10.748674239    59.0    66.0    2.13004662624     1.90413259012    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0          1.14254949723   2.97    2.9     0                 0                
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              9.7295913    2.679425171     6.8     5.1     0.784607944052    1.0461439254     
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              3.299379453  0.476526535393  6.1     7.3     0.412766546714    0.344914511638   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0093677    4.39928985963   5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-1J-INC100  120.0     124.0     12.0             28.852516    4.42989223677   29.0    32.0    0.744396301093    0.674609147866   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0562062    4.39933972751   6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0749416    4.39935967451   2.928   2.927   0                 0                
atlas_1911_12606     S-inc-20         328.0     312.0     24.0             290.4549021  29.9994759806   69.0    59.0    3.49646031148     4.08908070325    
atlas_2004_10894     Cat12            22.0      16.6      1.7              9.4747905    5.38926929299   15.2    9.9     0.0418676881252   0.0642817029801  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0093677    4.39928985963   66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             21.9740367   8.23116498836   68.0    54.0    0.124631266457    0.156943076279   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.2341925    4.39952922031   10.4    11.1    0                 0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0          4.39928985963   13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.156476199  0.124077966416  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.000646977  0.101278906881  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.032915015  0.417808310442  7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              3.67495202   1.09873123132   20.0    19.0    0.0936516400322   0.0985806737181  
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0          0.42093923271   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              7.92246882   1.51791816357   11.1    10.3    0.489466939796    0.527483789489   
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             27.21612124  2.59545655939   17.7    24.6    1.29715098772     0.933315954577   
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            121.6146004  9.89488361222   1355.0  1235.0  0.0777763773254   0.0853335961749  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0          2.52563610386   2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.2154571    4.39950927408   21.0    18.0    0                 0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            12.5608301   6.21961767033   317.0   216.0   0.00744686788849  0.0109289681512  
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           433.8269031  36.6753408806   3986.0  2400.0  0.0937479538524   0.15569972669    
