analysis             sr               o         b         db               s             ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             2.9072898295  0.475581953662  49.0    63.0    0.0434150086835  0.0337672289761  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.114024372968  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0006473655  0.110569510074  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            35.44171309   5.57845834392   194.0   284.0   0.135531141268   0.0925811317111  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.007303095   1.24736122564   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           1.24735647469   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.884719365   1.24735647469   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             7.093160475   2.49491869225   86.0    67.0    0.0349010909269  0.0447984152196  
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              87.379824125  8.77589504115   19.0    18.0    3.84143980303    4.05485312542    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.002434365   1.24735647469   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              8.01392958    1.25514982313   8.4     9.0     0.708986175008   0.661720430007   
atlas_1807_07447     MET1g1j          106.0     103.0     21.0             8.970162468   0.837379322521  44.0    40.0    0.172655917706   0.189921509477   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           4.80284126848   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             36.2559244    4.83808164954   36.0    33.0    0.786707513743   0.858226378629   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.1124796     4.80294187936   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0843597     4.80291444024   2.928   2.927   0                0                
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             564.0550356   43.7559151655   130.0   63.0    3.78688719022    7.81421166236    
atlas_2004_10894     Cat9             71.0      69.0      4.0              10.1966683    5.88164522939   21.0    19.0    0.0262271487523  0.0289879012525  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             3.4065383     4.80284126848   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             20.4308298    8.31792357766   38.0    29.0    0.178669345596   0.234118452849   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.1124796     4.80294187936   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           4.80284126848   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.009063117   0.110577721899  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0002157885  0.110569088938  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.03115455    0.456127023495  7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              4.39110904    1.25264334239   20.0    19.0    0.116838697924   0.122988103078   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.459552776116  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.02152488    0.45957290464   6.3     6.1     0                0                
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              4.67198089    0.463774470134  11.9    13.0    0.328688299074   0.300876212229   
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            69.95946634   7.83932818437   582.0   410.0   0.0981150654942  0.139275531994   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           2.75731524298   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.3093189     4.80313394882   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            20.5360361    8.31883902796   317.0   216.0   0.0217449214326  0.031912685621   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           636.5135364   46.4383311766   3986.0  2400.0  0.14058070077    0.233481113863   
