analysis             sr                o         b         db               s             ds              s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             5.421891724   0.644982140357  49.0     63.0     0.0890636941595  0.069271762124   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.112425611081  2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.000215296   0.109018763672  6.0      8.7      0                0                
atlas_1704_03848     SRI2              729.0     765.0     59.0             29.68677288   5.07127409206   96.0     116.0    0.222602951761   0.184223132492   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0           1.2298697941    5.6      5.1      0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           1.2298697941    7.22     6.137    0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00242881    1.2298697941    76.0     57.0     0                0                
atlas_1712_02332     2j-1200           582.0     517.0     31.0             14.81351572   3.5857466001    128.0    77.0     0.0697882132487  0.116011575271   
atlas_1712_08119     SRI-MLL-10        12.0      8.9       2.5              37.43163715   5.70272355324   11.4     9.3      2.46308513357    3.0192656476     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           1.2298697941    2.97     2.9      0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              9.9338329     1.23963752928   8.4      9.0      0.940574684759   0.877869705775   
atlas_1807_07447     MET1g1j           106.0     103.0     21.0             4.2749684     0.573528610895  44.0     40.0     0.0757813972303  0.0833595369533  
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           4.73551083295   5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             49.18190505   4.78381877865   36.0     33.0     1.14823450703    1.25261946221    
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0           4.73551083295   6.5      5.9      0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.04675975    4.73554777031   2.928    2.927    0                0                
atlas_1911_12606     E-inc-10          244.0     200.0     19.0             251.2777062   28.9977989815   83.0     49.0     2.45447368518    4.1575778749     
atlas_2004_10894     Cat9              71.0      69.0      4.0              10.046915     5.8005970691    21.0     19.0     0.0254255146037  0.028101884562   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0           4.73551083295   66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             20.30332485   8.20110883347   68.0     54.0     0.100786858281   0.126916784502   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0           4.73551083295   10.4     11.1     0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           4.73551083295   13.0     11.5     0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.00215296    0.109020676956  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0           0.109018763672  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.02309047    0.449725074041  7.2      7.3      0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.53311031    0.943144208724  20.0     19.0     0.0493176903846  0.0519133582996  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.453109998839  6.34     3.17     0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.011632725   0.453120601595  6.3      6.1      0                0                
atlas_conf_2016_096  2LBSF             19.0      20.7      5.0              5.9022657     0.458900169145  11.9     13.0     0.43274532963    0.396128417123   
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            198.93442989  13.131546875    1520.0   722.0    0.116709666457   0.245704560962   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           2.71866140784   2.87     2.94     0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.00935195    4.73551083295   21.0     18.0     0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             40.3288912    11.598814597    116.0    119.0    0.183679614318   0.179049035806   
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           5286.8707885  132.932062298   20140.0  13460.0  0.25168134093    0.376587088138   
