analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             4.180180075   0.381033235205   49.0    63.0    0.0725568483523   0.056433104274    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.050940633308   2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0           0.0493969691806  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             21.77220874   2.92238434515    96.0    116.0   0.176869775145    0.146374986327    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0           0.557259885591   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.557259885591   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0            18.0     18.7     2.7              1.1820535     0.682463231713   10.4    10.8    0.00603978846058  0.00581609259167  
atlas_1712_02332     2j-1200           582.0    517.0    31.0             10.28614688   2.00921063937    128.0   77.0    0.0546175111831   0.0907927458628   
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              0.01456584    0.557286324315   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.00242764    0.557259885591   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             31.12962772   0.621372847887   61.0    48.0    0.49361600409     0.627303671864    
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           290.27895754  3.18479396912    5551.0  5525.0  0.0513521699569   0.0515938272273   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           2.1456828815     5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             49.5040952    2.25091197247    36.0    33.0    1.27257221014     1.38826059288     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0           2.1456828815     6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.15890665    2.14600862652    2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-02          46.0     44.0     6.8              6.069325      3.03467692398    21.0    19.0    0.05202165927     0.0574976234037   
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.00934745    2.1456828815     21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.00934745    2.1456828815     66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             1.54549235    2.14572360233    38.0    29.0    0                 0                 
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0           2.1456828815     10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           2.1456828815     13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0058101975  0.0494091546917  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0           0.0493969691806  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.04527117    0.203859186284   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.67404642    0.323132423363   20.0    19.0    0.00720546228426  0.00758469714132  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.205306162032   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.02504306    0.205358755873   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              6.120647995   0.217931722123   11.9    13.0    0.484305879892    0.443326151594    
atlas_conf_2017_060  EM6               2975.0   2825.0   78.0             75.50878678   5.44576221694    302.0   184.0   0.220456081934    0.361835525784    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           1.23183767909    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0           2.1456828815     21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             39.56951685   7.73646280384    116.0   119.0   0.231738946997    0.22589678867     
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            260.3217603   19.8403169556    594.0   381.0   0.383474142244    0.597857324128    
