analysis             sr                o        b        db               s            ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.46380938   0.0673841572294  49.0    63.0    0.00721019106416   0.00560792638324   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0          0.0144889894159  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.001072825  0.0140564789503  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            5.11541624   0.752216665683   194.0   284.0   0.0200091799396    0.0136682426348    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.00242056   0.158500934088   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0          0.158500934088   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.1236888    0.158574848414   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             5.77818312   0.800061981272   86.0    67.0    0.051931179892     0.0666579323987    
atlas_1712_08119     SRI-MT2-999       277.0    289.0    33.0             11.265762    1.11421289234    59.0    66.0    0.15997377723      0.143006861463     
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.111586     0.158500934088   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             12.46827248  0.259648455773   61.0    48.0    0.197417196927     0.250884354428     
atlas_1807_07447     MET2m2j           6.0      7.2      1.7              0.504415333  0.0639468670352  6.1     7.3     0.0654987657479    0.054731845351     
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0          0.610293941679   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             17.21431705  0.72993961881    36.0    33.0    0.444922668754     0.485370184096     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0          0.610293941679   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0932015    0.610934106115   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-20          328.0    312.0    24.0             25.9427434   3.257941675      69.0    59.0    0.298546652942     0.349147780559     
atlas_2004_10894     Cat12             22.0     16.6     1.7              2.20955475   0.967532491901   15.2    9.9     0.040973780479     0.0629092387153    
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.02796045   0.61043625846    66.0    57.0    0                  0                  
atlas_2101_01629     4J_lx_bveto_1600  57.0     56.0     6.0              4.3698833    1.29683279545    20.0    19.0    0.112153875773     0.11805671134      
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0186403    0.610365104217   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0          0.610293941679   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.00729521   0.0141038897655  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0   9000.0   2200.0           0.05990331   0.0199758955909  3717.0  3549.0  7.3023516898e-06   7.64802514257e-06  
atlas_conf_2016_050  SR1               37.0     24.0     3.0              0.13009492   0.0713705436369  26.0    12.9    0.000501816478287  0.00101141305701   
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.05301918   0.215507059052   20.0    19.0    0.0349793801577    0.036820400166     
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0          0.0583949843051  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              3.15429849   0.34320353144    11.1    10.3    0.233463486346     0.251596572664     
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             7.507993425  0.426645985566   17.7    24.6    0.384649379021     0.276759919052     
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            14.25729936  1.25252160918    582.0   410.0   0.020967635603     0.0297638144413    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0053507    0.350370188485   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0559209    0.61064967144    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-5-1600-16    126.0    129.0    8.0              3.48354395   1.22185026237    26.0    28.0    0.0569119046044    0.0528467685612    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            52.4230612   4.7059290284     1199.0  833.0   0.0372855192606    0.053667872261     
