analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             1.568955665   0.161653101253   49.0    63.0    0.0266090730397   0.0206959456975   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0244470452305  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0           0.0237062492685  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0     765.0     59.0             9.30478198    1.32375232386    96.0    116.0   0.0743107100925   0.0614985186972   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0           0.267435764505   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.267435764505   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.38304181    0.267446742019   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             8.00555103    1.22562504012    86.0    67.0    0.0697154181884   0.0894854621523   
atlas_1712_08119     SRI-MLL-20       34.0      29.0      6.0              24.810148325  2.16451886958    20.0    17.0    1.06301686894     1.25060808111     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0           0.267435764505   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             16.562264425  0.334139118196   61.0    48.0    0.262529119199    0.333630755649    
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             1.74013994    0.17061741887    18.0    20.0    0.0811292985029   0.0730163686526   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           1.02973894546    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             20.19977475   1.1174713296     36.0    33.0    0.510197826929    0.556579447559    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00933015    1.02973894546    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.04665075    1.02990800686    2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-20     23.0      17.8      2.7              28.44873075   4.54802351965    15.7    11.2    1.33694090304     1.87410465873     
atlas_2004_10894     Cat12            22.0      16.6      1.7              8.1033115     2.4152907525     15.2    9.9     0.272515438547    0.418407542011    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.72896       1.02973894546    66.0    57.0    0                 0                 
atlas_2101_01629     2J_disc_squark   106.0     86.0      12.0             9.52811105    2.62462631052    46.0    31.0    0.113559215234    0.168507222605    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0           1.02973894546    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           1.02973894546    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00687344    0.0237363960625  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0           0.0237062492685  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.02569487    0.0979007917213  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              2.21260585    0.410308929934   20.0    19.0    0.0769849602454   0.0810368002583   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.0985291892332  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.22139952    0.0995231448143  11.1    10.3    0.00524158220761  0.00564869538879  
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              2.44354516    0.108749190727   11.9    13.0    0.190352645984    0.174245883631    
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            43.177656965  2.84934429192    582.0   410.0   0.0661593338939   0.0939139812835   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.591174427583   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0186603     1.02978121341    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            23.51053345   4.11842516704    317.0   216.0   0.0528590415649   0.0775755378521   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           418.34814985  17.4148917359    3986.0  2400.0  0.0977891940299   0.162411553085    
