analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             2.20713756    0.185256171122   49.0    63.0    0.0388432130482  0.0302113879263  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.0228346542491  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0           0.0221427175253  6.0     8.7     0                0                
atlas_1704_03848     SRI2              729.0    765.0    59.0             12.09801554   1.45658607785    96.0    116.0   0.101137649712   0.0837001238993  
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0           0.249797287936   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.249797287936   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0           0.249797287936   76.0    57.0    0                0                
atlas_1712_02332     2j-1200           582.0    517.0    31.0             8.166190255   1.19800267986    128.0   77.0    0.0484489520315  0.0805385176627  
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              10.089342635  1.33349536041    11.4    9.3     0.693193881046   0.849721531605   
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           0.249797287936   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             15.93447997   0.317183824215   61.0    48.0    0.252693418005   0.321131218714   
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             1.726345379   0.164000135827   44.0    40.0    0.0331223899146  0.0364346289061  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           0.961823862472   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC120   57.0     51.0     5.0              12.6509136    1.0182285337     23.0    18.0    0.477435600206   0.610056600263   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0           0.961823862472   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0373492     0.961959821373   2.928   2.927   0                0                
atlas_1911_12606     E-inc-10          244.0    200.0    19.0             42.9591626    5.39832698226    83.0    49.0    0.410914534326   0.696038905083   
atlas_2004_10894     Cat12             22.0     16.6     1.7              5.5611949     1.9235582402     15.2    9.9     0.1583262754     0.243086806675   
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0           0.961823862472   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             10.3603491    2.63432748414    68.0    54.0    0.0888242945002  0.111852815297   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0           0.961823862472   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.961823862472   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0064488     0.0221729557265  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.00021496    0.0221427175253  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.02837472    0.0914721574591  7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.64457488    0.339678242707   20.0    19.0    0.054375128098   0.0572369769453  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0920307657321  6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.34207375    0.0933611706465  11.1    10.3    0.0170235522648  0.0183457699165  
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             5.223560925   0.114102799071   17.7    24.6    0.284544199691   0.204733021729   
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            67.818172145  3.45225932098    582.0   410.0   0.106798053022   0.15160113868    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.552183887749   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0           0.961823862472   21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             23.8652561    4.02299307522    116.0   119.0   0.14885816773    0.145105440812   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            235.0383241   12.6139221278    1199.0  833.0   0.178775222527   0.25732472006    
