analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             0.656122098   0.071868898685   49.0    63.0    0.0109848388603    0.00854376355804  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0116412359224  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000428884   0.0112905002983  6.0     8.7     0                  0                 
atlas_1704_03848     SRI2             729.0     765.0     59.0             3.916895325   0.590411820284   96.0    116.0   0.0307147910389    0.0254191374115   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.002419175   0.127347732944   5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.127347732944   7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.1905647     0.156253382187   76.0    57.0    0                  0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             3.56485335    0.562431445593   86.0    67.0    0.0307263462701    0.0394397877497   
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             14.69743355   1.13817186476    59.0    66.0    0.21747172359      0.194406540785    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.002419175   0.127347732944   2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             6.865452925   0.253863731131   61.0    48.0    0.10572321977      0.134356591791    
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             0.543155525   0.0655798640846  18.0    20.0    0.0242002526612    0.0217802273951   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           0.490341726892   5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             9.51765695    0.666177172691   36.0    33.0    0.234031288522     0.255306860206    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00931485    0.490341726892   6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0186297     0.490430194383   2.928   2.927   0                  0                 
atlas_1911_12606     E-high-mm-30     3.0       8.3       1.4              3.14309655    1.03851905927    4.1     6.9     0.351201290925     0.208684825042    
atlas_2004_10894     Cat12            22.0      16.6      1.7              4.5295069     1.24607141784    15.2    9.9     0.163549327286     0.251106037853    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.7151237     0.601496258152   66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             7.893202      1.62407476717    68.0    54.0    0.0769076379682    0.0968466552192   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00931485    0.490341726892   10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           0.490341726892   13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.015951554   0.0113615529301  20.0    10.2    0                  0                 
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.03713725    0.0178285403703  3717.0  3549.0  2.12495124906e-06  2.2255406573e-06  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.01946065    0.0467409462162  7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              0.84437325    0.169312666437   20.0    19.0    0.0283350238522    0.0298263408971   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.046917610067   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.5865989     0.105969471822   11.1    10.3    0.037189996956     0.0400785404089   
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             2.65170425    0.114585441348   17.7    24.6    0.139196843288     0.100153826268    
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            20.299888275  1.34453161121    582.0   410.0   0.0310908186127    0.0441337961771   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.281505590029   2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0           0.490341726892   21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            10.58625015   1.90091644021    317.0   216.0   0.0235607166816    0.0345775332781   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           205.0508096   8.38019519085    3986.0  2400.0  0.0479948041864    0.0797113706196   
