analysis             sr               o        b        db               s            ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             1.20776504   0.100999776475   49.0    63.0    0.0212678654404   0.0165416731203   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.0124014215875  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0          0.0120256026643  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             6.46252956   0.785444550608   96.0    116.0   0.0539000051771   0.0446069008362   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0          0.135663964898   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.135663964898   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0           18.0     18.7     2.7              0.28980054   0.16593872516    10.4    10.8    0.00169817603246  0.00163528062385  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             4.06946118   0.621671570416   86.0    67.0    0.0354641837735   0.0455211911122   
atlas_1712_08119     SRI-MLL-20       34.0     29.0     6.0              8.93862378   0.925165087665   20.0    17.0    0.371067651811    0.436550178602    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.135663964898   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             4.40563668   0.194567000749   61.0    48.0    0.0669925704717   0.0851363916411   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             1.189733848  0.100229149216   44.0    40.0    0.0233035918929   0.0256339510822   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0          0.522363123962   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             5.6246896    0.570224404873   36.0    33.0    0.130264488222    0.142106714425    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0          0.522363123962   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0093124    0.522363123962   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             42.1698007   3.94270146421    130.0   63.0    0.274644386913    0.566726512678    
atlas_2004_10894     Cat12            22.0     16.6     1.7              1.1744768    0.640926555666   15.2    9.9     0.00811560846762  0.0124603281523   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.735862     0.638933841674   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             4.4893539    1.22606889679    68.0    54.0    0.0364500133715   0.0459000168382   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0          0.522363123962   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.522363123962   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00857544   0.0120999013369  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0          0.0120256026643  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.02387718   0.0498102158482  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.067469275  0.196851492081   20.0    19.0    0.0372316413993   0.039191201473    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.0499814697654  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.25483744   0.052196012493   11.1    10.3    0.0152464846407   0.0164306776225   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             2.34141246   0.0905525737376  17.7    24.6    0.123893007857    0.0891425300435   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            62.27431062  2.43204955042    1520.0  722.0   0.0383458877351   0.0807281847054   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.00534625   0.299888818245   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0          0.522363123962   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            25.6586905   3.06682553272    317.0   216.0   0.0650760145941   0.0955050769738   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            139.119791   7.14146178892    1199.0  833.0   0.106261712816    0.152950532612    
