analysis             sr               o        b        db               s            ds               s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             1.3764031    0.106010720124   49.0    63.0    0.0245417452856  0.0190880241111   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.0119975291714  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0          0.0116339741062  6.0     8.7     0                0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             7.57090663   0.835129190134   96.0    116.0   0.0645968203977  0.0534594375705   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0          0.131246171245   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.131246171245   7.22    6.137   0                0                 
atlas_1709_04183     SRA-T0           18.0     18.7     2.7              0.37257531   0.185097270134   10.4    10.8    0.0066361333635  0.00639035064634  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             3.47757639   0.56426883394    67.0    37.0    0.0380921716767  0.0689777162794   
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              3.53418593   0.572168202514   11.4    9.3     0.227704392796   0.27912151375     
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.131246171245   2.97    2.9     0                0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             3.17898704   0.258956948482   61.0    48.0    0.0451524204015  0.0573812009269   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.85922653   0.0837439290984  44.0    40.0    0.0164065110518  0.018047162157    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0          0.505351790664   5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              3.4815956    0.640324280778   17.0    19.0    0.143027281149   0.12797177787     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0          0.505351790664   6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0279114    0.505523049639   2.928   2.927   0                0                 
atlas_1911_12606     E-inc-10         244.0    200.0    19.0             18.6585626   2.57859911467    83.0    49.0    0.173851325927   0.294482858203    
atlas_2004_10894     Cat12            22.0     16.6     1.7              1.8720057    0.800237199952   15.2    9.9     0.0368168876367  0.0565269385938   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0093038    0.505351790664   66.0    57.0    0                0                 
atlas_2101_01629     2J_disc_squark   106.0    86.0     12.0             2.7261067    0.947085982494   46.0    31.0    0.025497514972   0.0378350222165   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0          0.505351790664   10.4    11.1    0                0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.505351790664   13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00749658   0.011700818539   20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0          0.0116339741062  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0176705    0.0481445033868  7.2     7.3     0                0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.46956055   0.120662799259   20.0    19.0    0.0135836779607  0.0142986083797   
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.0483537779958  6.34    3.17    0                0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.28398018   0.0508930269355  11.1    10.3    0.0180644698942  0.0194675355171   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             2.1492189    0.120601520259   17.7    24.6    0.110250418462   0.0793265206006   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            96.02207481  2.9739467853     1520.0  722.0   0.0599636855803  0.126239338064    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0          0.290122668363   2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0          0.505351790664   21.0    18.0    0                0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            32.0202455   3.3698534168     317.0   216.0   0.0835762962033  0.122655953224    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            202.2746155  8.47660459658    1199.0  833.0   0.15710841031    0.226138035968    
