analysis             sr               o        b        db               s            ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             1.21573732   0.0869862658707   49.0    63.0    0.0218995886525    0.0170330133964   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.009174289528    2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0          0.00889627268582  6.0     8.7     0                  0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             7.48714638   0.724475370527    96.0    116.0   0.0656146538785    0.0543017825201   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0          0.10036104828     5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.10036104828     7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.35899992   0.172874032999    76.0    57.0    0.000993243498444  0.00132432466459  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             3.58545946   0.502402459367    67.0    37.0    0.0412167078603    0.0746356601794   
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             0.62150306   0.106711833651    59.0    66.0    0.00756772292902   0.00676508564867  
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.10036104828     2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             0.58234826   0.202385225286    61.0    48.0    0.0041055162382    0.00521742688605  
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           83.15856554  0.721247808177    5551.0  5525.0  0.0147677389902    0.0148372342325   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0092473    0.386431743522    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              0.092473     0.387426258037    17.0    19.0    0                  0                 
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0          0.386431743522    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0184946    0.386542371492    2.928   2.927   0                  0                 
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             6.3898843    0.456435271349    96.0    73.0    0.0587638589061    0.0772784993834   
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0          0.386431743522    21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.270912     0.386431743522    66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             0.7285277    0.391706644252    68.0    54.0    0.00126660005039   0.00159497784123  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0          0.386431743522    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.386431743522    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.008728408  0.00899758410476  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0          0.00889627268582  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.02283216   0.0369588690931   7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.13055137   0.0509485365903   20.0    19.0    0.0023497884996    0.00247346157853  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.036975141077    6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.249825895  0.0539106138299   11.1    10.3    0.0145416656143    0.0156711153708   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             0.761089575  0.118632786476    17.7    24.6    0.0320074466203    0.023029748178    
atlas_conf_2017_060  IM6              5097.0   4680.0   160.0            68.13857832  2.19100889855     692.0   350.0   0.0932735892       0.184415210647    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0          0.221850844373    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0          0.386431743522    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            35.8105877   3.11777806274     317.0   216.0   0.0968373239025    0.142117739246    
atlas_conf_2020_048  EM07             3986.0   3840.0   80.0             68.5559327   4.31071162303     310.0   197.0   0.198343114962     0.312113531159    
