analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             1.0805391925  0.0733101460187   49.0    63.0    0.0195981745516    0.0152430246513    
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.02563475    0.0126137688144   5.4     6.9     0.000916327619328  0.000717125962953  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00712349327165  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             6.43180115    0.600194419968    96.0    116.0   0.0567446073047    0.0469610543211    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.0803617985762   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.0803617985762   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.2846795     0.12734493739     76.0    57.0    0.00099781319316   0.00133041759088   
atlas_1712_02332     2j-2100          180.0    143.0    13.0             3.50016405    0.442731981834    67.0    37.0    0.0414042328327    0.0749752324268    
atlas_1712_08119     SRM-MLL-03       1.0      1.1      0.6              0.283263      0.126711621285    3.6     3.6     0.0209599836369    0.0209599836369    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.0803617985762   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-WZ-1Ja      1.0      2.2      0.5              0.0           0.0803617985762   3.5     4.5     0                  0                  
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           66.597732873  0.576750469163    5551.0  5525.0  0.011827033346     0.0118826899735    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.309426378235    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              0.0186127     0.309566296127    17.0    19.0    0                  0                  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0           0.309426378235    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.00930635    0.309426378235    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             7.57339005    0.45719785254     96.0    73.0    0.0710790163733    0.0934737749566    
atlas_2004_10894     Cat12            22.0     16.6     1.7              0.68669105    0.380709659884    15.2    9.9     0.00410047419673   0.00629567755457   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0           0.309426378235    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             1.3214308     0.442123672754    68.0    54.0    0.00876982318652   0.0110434810497    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.309426378235    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.309426378235    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.01623807    0.00728595621352  20.0    10.2    0.000214455090491  0.000420500177434  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.00712349327165  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.04046884    0.0296621555103   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.187478305   0.0415934586938   20.0    19.0    0.0059632516371    0.00627710698643   
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0296069833181   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.15972582    0.0431166110254   11.1    10.3    0.008019331344     0.00864219203091   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             0.677407855   0.11801955947     17.7    24.6    0.0273364846028    0.0196689340435    
atlas_conf_2017_060  IM6              5097.0   4680.0   160.0            48.13864895   1.64490862458     692.0   350.0   0.0656661832452    0.129831425159     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.177641617516    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.309426378235    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            30.62345245   2.57678840651     317.0   216.0   0.083272932061     0.122210738256     
atlas_conf_2020_048  EM06             10203.0  9930.0   170.0            94.2609395    4.52228628679     594.0   381.0   0.14620267675      0.227938031469     
