analysis             sr               o        b       db               s             ds                 s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.0608709625  0.00371952881065   49.0    63.0    0.00111777418879   0.000869379924612  
atlas_1605_09318     SR-Gtt-1L-B      0.0      1.2     0.8              0.001002466   0.000542500445276  2.9     3.5     3.88845757752e-05  3.22186484994e-05  
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0           0.000395939768405  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0   59.0             0.372773945   0.0311657280613    96.0    116.0   0.00335064740604   0.00277294957741   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0           0.00446669115606   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.00446669115606   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.018145065   0.00695347621631   76.0    57.0    8.87021579638e-05  0.000118269543952  
atlas_1712_02332     2j-2100          180.0    143.0   13.0             0.15783844    0.0204775443608    67.0    37.0    0.00185455622759   0.00335825046617   
atlas_1712_08119     SRI-MT2-999      277.0    289.0   33.0             1.4030252     0.058682412334     59.0    66.0    0.0221489159961    0.019799788542     
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0           0.00446669115606   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-WZ-1Ja      1.0      2.2     0.5              0.0           0.00446669115606   3.5     4.5     0                  0                  
atlas_1807_07447     MET2m1j          17.0     16.0    5.0              0.121473966   0.00524396789559   13.0    13.0    0.00868260451163   0.00868260451163   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0           0.0171986222484    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0    6.0              0.0           0.0171986222484    17.0    19.0    0                  0                  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0           0.0171986222484    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0           0.0171986222484    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-20         328.0    312.0   24.0             8.531384      0.283308430488     69.0    59.0    0.116909538754     0.136724714814     
atlas_2004_10894     Cat12            22.0     16.6    1.7              0.02944485    0.0171986222484    15.2    9.9     8.15203626747e-05  0.000125162577036  
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.0249969     0.0208481906606    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             0.7722107     0.0867845607639    68.0    54.0    0.00926300029922   0.0116645188953    
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0           0.0171986222484    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0           0.0171986222484    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.011572383   0.00164215717433   20.0    10.2    0.000443962261705  0.000870514238638  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0  2200.0           0.0011238055  0.000540692147077  3717.0  3549.0  6.37800319594e-08  6.67992050699e-08  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.01916859    0.00427611087887   7.2     7.3     0.00168830113315   0.00166517372036   
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.157327135   0.0127652129591    20.0    19.0    0.00681960928736   0.00717853609196   
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.00164562669614   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.11225494    0.0110435979339    11.1    10.3    0.00848139093589   0.00914013974645   
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             0.47849176    0.0233506084147    17.7    24.6    0.0248698735706    0.0178941773252    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            3.093473005   0.0902822142815    692.0   350.0   0.00425637308321   0.0084154576388    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.0098737562171    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0           0.0171986222484    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            1.73607505    0.133032275553     317.0   216.0   0.00478833475739   0.0070273246208    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            5.41124455    0.233916212185     594.0   381.0   0.00846401003707   0.013195858168     
