analysis             sr               o        b       db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.1951703845  0.0123541226476   49.0    63.0    0.00356958415016   0.0027763432279    
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0           0.00122050735125  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0           0.00118352231236  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0   59.0             1.28629594    0.105991383964    96.0    116.0   0.0115882298989    0.00959025922671   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0           0.0133516334316   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.0133516334316   7.22    6.137   0                  0                  
atlas_1709_04183     SRA-T0           18.0     18.7    2.7              0.0458243     0.0206672615093   10.4    10.8    0.00114711453122   0.00110462880784   
atlas_1712_02332     2j-2100          180.0    143.0   13.0             0.44665801    0.0629257186408   67.0    37.0    0.00512626614073   0.00928269814673   
atlas_1712_08119     SRI-MT2-999      277.0    289.0   33.0             1.64612462    0.0796980501937   59.0    66.0    0.0256850816556    0.0229609063285    
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0           0.0133516334316   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0   22.0             0.1567816     0.0402309338088   61.0    48.0    0.00148857161563   0.0018917264282    
atlas_1807_07447     MET2m1j          17.0     16.0    5.0              0.162355632   0.00778575870204  13.0    13.0    0.0115066913637    0.0115066913637    
atlas_1908_03122     SRC22            28.0     21.2    4.1              0.10912015    0.0637685558306   19.2    13.6    0.000236443668638  0.000333802826313  
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0    6.0              0.0           0.0514092381729   17.0    19.0    0                  0                  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0           0.0514092381729   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0           0.0514092381729   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-20         328.0    312.0   24.0             8.99523155    0.324183729765    69.0    59.0    0.122660438162     0.143450342935     
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.03772955    0.0514092381729   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.03366105    0.0514092381729   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             1.0276963     0.132766278968    68.0    54.0    0.0119111706249    0.014999251898     
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0           0.0514092381729   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0           0.0514092381729   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.0161722925  0.00312191995691  20.0    10.2    0.000552617188533  0.00108356311477   
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0           0.00118352231236  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.01770007    0.00595915561544  7.2     7.3     0.00110097983204   0.00108589791653   
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.20413099    0.0194776947218   20.0    19.0    0.00860937853281   0.00906250371875   
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.00491901419464  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.13831272    0.0197165542878   11.1    10.3    0.00954752891604   0.01028908456      
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             0.624157145   0.0474637028801   17.7    24.6    0.0308653487162    0.022207994808     
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            8.88663599    0.282187075078    692.0   350.0   0.0121731924666    0.0240681405339    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.0295140781632   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0           0.0514092381729   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            4.6056625     0.40116515795     317.0   216.0   0.0124534752081    0.0182766279674    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            16.1043428    0.74923510458     594.0   381.0   0.0250430929773    0.0390435622795    
