analysis             sr               o         b         db               s             ds              s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             2.09474933    0.408195198721  49.0    63.0    0.0290879429408    0.0226239556206    
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.116723519155  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.002804295   0.113188673769  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            23.601950285  4.60442115497   194.0   284.0   0.0827355649013    0.0565165478551    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              2.97500885    1.5632818527    8.0     9.0     0.0514033264462    0.04569184573      
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           1.2768830296    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00486707    1.27688534857   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             8.1760307     2.70914484963   86.0    67.0    0.0434073621699    0.055716912636     
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             76.06774643   8.2736947612    59.0    66.0    1.05930316986      0.946952833661     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0           1.2768830296    2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              22.171370575  4.23732121      5.1     5.0     2.98473799816      3.04443275812      
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              4.589937034   0.595421964441  6.1     7.3     0.592368034806     0.494992467441     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           4.9165278678    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC100  120.0     124.0     12.0             28.3593105    4.94016844055   29.0    32.0    0.698532215776     0.633044820547     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0468505     4.91656358343   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.1405515     4.91665287138   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             221.1496679   27.5922948558   96.0    73.0    1.8322740035       2.40956581283      
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.0093701     4.9165278678    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0187402     4.91653679673   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             17.5740771    7.77149400884   68.0    54.0    0.0710121606692    0.0894227208427    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.1499216     4.91666180009   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           4.9165278678    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.01078575    0.113196279042  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.502186645   0.195958539561  3717.0  3549.0  4.86453161473e-05  5.09480530063e-05  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.041821775   0.466932373859  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG6J_high_mass   3.0       3.8       1.2              0.0099768     0.523495030411  5.0     5.6     0                  0                  
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.470430328562  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              23.868132265  2.80277042142   11.1    10.3    1.73617916882      1.8710280363       
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             116.62882294  6.1160526513    17.7    24.6    6.02251393174      4.33327221918      
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            98.0474977    9.38318803591   1355.0  1235.0  0.061003003189     0.0669304205029    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0053794     2.82258409376   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.1686618     4.91667965745   21.0    18.0    0                  0                  
atlas_conf_2019_040  SR-2j-2200       971.0     980.0     50.0             20.9329409    8.51146426575   108.0   115.0   0.0645753657794    0.0606446913406    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           370.476721    35.7930557088   3986.0  2400.0  0.0782177896732    0.129906712349     
