analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             4.2032247      0.912969918602  49.0    63.0    0.0552235517039    0.0429516513253    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.290429489521  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.00281424     0.281629476342  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0    765.0    59.0             24.827908765   7.45572477311   96.0    116.0   0.131255418095     0.108625173596     
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.01465299     3.1771263496    5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            3.17712165655   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0            3.17712165655   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             6.763894485    3.8924550348    86.0    67.0    0.00442172358052   0.00567564519291   
atlas_1712_08119     SRI-MT2-999       277.0    289.0    33.0             186.791722945  20.4674323746   59.0    66.0    2.59703616696      2.32159293713      
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            3.17712165655   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b       3.0      2.8      0.4              19.519249105   6.35138958479   5.1     5.0     1.78489611489      1.82059403719      
atlas_1807_07447     MET2m1j           17.0     16.0     5.0              11.8664545215  1.50819043241   13.0    13.0    0.72254017018      0.72254017018      
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            12.2332398171   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             32.6108178     12.2457633055   36.0    33.0    0.347993499418     0.379629272092     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.1504536      12.2332940277   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.1316469      12.2332867996   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-30          419.0    388.0    28.0             485.9565628    64.7277191418   91.0    69.0    4.173660477        5.50439280301      
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0188067      12.2332434312   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.00940335     12.2332398171   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             8.70742345     12.2332615014   38.0    29.0    0                  0                  
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.21627705     12.2333193259   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            12.2332398171   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.40889002     0.281632471555  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0   9000.0   2200.0           0.60350442     0.344811001707  3717.0  3549.0  1.02271663169e-05  1.07112925331e-05  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0312543      1.16172891777   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG6J_high_mass    3.0      3.8      1.2              0.0050061      1.30253214511   5.0     5.6     0                  0                  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            1.17051720156   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              18.398646705   3.88253664375   11.1    10.3    1.08389969453      1.16808607857      
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             87.746448575   8.27691074613   17.7    24.6    4.19052626844      3.01513475412      
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            63.07470155    11.8877147627   582.0   410.0   0.0748777480053    0.106289876437     
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            7.0231102874    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.14105025     12.2332904137   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-10  6986.0   6890.0   300.0            34.66662345    17.3004264387   652.0   581.0   0.00965325780756   0.0108329158185    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            268.8026211    48.1669932655   1199.0  833.0   0.158305881689     0.227861647232     
