analysis             sr                o         b         db               s             ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             4.4166433145  0.93661142899   49.0    63.0    0.0587877667542  0.0457238185866  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.291251376476  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0015129835  0.282426116266  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            45.306388505  10.0746889442   194.0   284.0   0.148370611529   0.101351755762   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.002438335   3.18611468963   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           3.18611468963   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.002438335   3.18611468963   76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             9.048265025   4.50585518212   86.0    67.0    0.0192867735619  0.0247561571094  
atlas_1712_08119     SRI-MLL-20        34.0      29.0      6.0              157.77112004  18.8502661135   20.0    17.0    6.3428341807     7.46215785964    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    2.256163335   3.18611468963   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              10.238568665  3.19002914256   8.4     9.0     0.596062008477   0.556324541246   
atlas_1807_07447     MET1g2j           38.0      43.0      10.0             6.6248992695  1.15064415811   18.0    20.0    0.263213491678   0.23689214251    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           12.2678827654   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             37.9862756    12.2824060081   36.0    33.0    0.495642492966   0.540700901417   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              8.7279316     12.2679007281   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.1314404     12.2679294684   2.928   2.927   0                0                
atlas_1911_12606     E-inc-20          383.0     301.0     23.0             1041.3142124  95.0294290857   130.0   63.0    6.81127652846    14.0550150587    
atlas_2004_10894     Cat11             6.0       8.6       1.2              34.7113772    17.3463059125   5.6     7.4     1.11847062561    0.846410203166   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0093886     12.2678827654   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             60.9764808    22.9476388015   68.0    54.0    0.343269899494   0.432265799363   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.2534922     12.2679761712   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           12.2678827654   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.2132508515  0.282430747769  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0002161405  0.282425620029  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.85706346    1.16501708038   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              8.3610475     2.77036414008   20.0    19.0    0.190882515514   0.200928963699   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           1.17383302999   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.02156004    1.17384093617   6.3     6.1     0                0                
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             8.24810735    1.43927341225   17.7    24.6    0.332638358978   0.23933735585    
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            286.5560453   25.3888137913   1355.0  1235.0  0.180751579839   0.198314486382   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           7.04299111141   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.3379896     12.2680085038   21.0    18.0    0                0                
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             34.7175772    17.3494061884   141.0   120.0   0.0444294400777  0.0522045920913  
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           929.5261698   89.7309714275   3986.0  2400.0  0.196278820035   0.325986406941   
