analysis             sr                o         b         db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             6.734779       1.1011591381    49.0    63.0    0.100589347215   0.0782361589447  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.264009376672  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0            0.256009167583  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            82.0802846     12.9164384118   194.0   284.0   0.31390374023    0.214427202833   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.002436185    2.8881044938    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            2.8881044938    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.0            2.8881044938    76.0    57.0    0                0                
atlas_1712_02332     2j-1200           582.0     517.0     31.0             16.37082159    5.77590829366   128.0   77.0    0.0538932186593  0.089588727122   
atlas_1712_08119     SRI-MLL-05        4.0       3.1       1.2              75.596552775   12.4219929849   6.5     5.5     8.49607450458    10.0408153236    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.002436185    2.8881044938    2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              13.645072185   2.8938527178    8.4     9.0     1.05942306283    0.988794858646   
atlas_1807_07447     MET1j             18952.0   18500.0   3200.0           791.392702875  11.9809021368   5551.0  5525.0  0.139027927107   0.139682176176   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.1203897061   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             60.3997517     11.1458309253   36.0    33.0    1.17001636062    1.27638148432    
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0093803      11.1203897061   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.093803       11.1204253122   2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-05      0.0       3.9       1.3              125.8817621    31.4540354726   2.9     5.1     25.6197048017    14.5680674363    
atlas_2004_10894     Cat9              71.0      69.0      4.0              0.0093803      11.1203897061   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0093803      11.1203897061   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300     84.0      73.0      12.0             0.0562818      11.1204094873   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0093803      11.1203897061   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.1203897061   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.004319       0.256010898089  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.00021595     0.256009167583  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.05166611     1.05606104305   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              3.37829433     1.67467366457   20.0    19.0    0.0315914760053  0.0332541852687  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.06403700852   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.01615572     1.06404344382   6.3     6.1     0                0                
atlas_conf_2016_096  2LBSF             19.0      20.7      5.0              7.19019294     1.06706486949   11.9    13.0    0.457160214625   0.418477427234   
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            419.50217238   29.2401262169   1520.0  722.0   0.244439714069   0.514609924355   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            6.38423265996   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0            11.1203897061   21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             70.8806136     23.5893728934   116.0   119.0   0.277534845301   0.270538168528   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           2526.9885415   140.883159913   3986.0  2400.0  0.576001043463   0.956641733018   
