analysis             sr               o         b         db               s              ds              s95obs  s95exp  robscons        rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             7.2833864955   1.06709817533   49.0    63.0    0.112925418122  0.0878308807613  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.22947900651   2.9     3.9     0               0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0            0.222524957864  6.0     8.7     0               0                
atlas_1704_03848     SRI2             729.0     765.0     59.0             51.728046855   9.5581564731    96.0    116.0   0.375548648324  0.310798881372   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0            2.51036239078   5.6     5.1     0               0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            2.51036239078   7.22    6.137   0               0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             1.775563595    2.51036239078   76.0    57.0    0               0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             21.3480819     6.14911320604   86.0    67.0    0.130971351652  0.168112481225   
atlas_1712_08119     SRI-MLL-60       52.0      43.0      7.0              0.002348595    2.51036239078   27.0    20.0    0               0                
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            2.51036239078   2.97    2.9     0               0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              14.03990091    2.51692031225   8.4     9.0     1.18001804737   1.10135017755    
atlas_1807_07447     MET1j            18952.0   18500.0   3200.0           748.924308344  10.8658707812   5551.0  5525.0  0.131706769999  0.132326566563   
atlas_1908_03122     SRC26            4.0       3.7       0.9              6.84205        9.6659118421    5.8     5.4     0               0                
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              37.73664765    9.68354399763   14.1    14.4    1.55004507049   1.51775246485    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0            9.6659118421    6.5     5.9     0               0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.11755965     9.66596260392   2.928   2.927   0               0                
atlas_1911_12606     VBF-inc-40       82.0      74.0      10.0             0.0            9.6659118421    33.0    26.0    0               0                
atlas_2004_10894     Cat9             71.0      69.0      4.0              6.84205        9.6659118421    21.0    19.0    0               0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             6.8276         9.6659118421    66.0    57.0    0               0                
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             0.0361722      9.66592453258   38.0    29.0    0               0                
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0            9.6659118421    10.4    11.1    0               0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.00904305     9.6659118421    13.0    11.5    0               0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.004580081    0.222527002941  20.0    10.2    0               0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0            0.222524957864  115.0   101.0   0               0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.700417135    0.917940737772  7.2     7.3     0               0                
atlas_conf_2016_054  GG6J_high_mass   3.0       3.8       1.2              0.00192572     1.02918125478   5.0     5.6     0               0                
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.924868305053  6.34    3.17    0               0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.01644013     0.924875590634  6.3     6.1     0               0                
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              8.65011534     0.928601123229  11.9    13.0    0.598925167891  0.548246884454   
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            560.141059775  31.5015436309   1520.0  722.0   0.334525347513  0.704263889502   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            5.54922044814   2.87    2.94    0               0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0            9.6659118421    21.0    18.0    0               0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            164.25106235   33.4778194427   317.0   216.0   0.344944600833  0.506238141037   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           3141.03538505  146.425038053   3986.0  2400.0  0.727771781898  1.20870763443    
