analysis             sr                o         b         db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             1.257842851   0.205275546898   49.0    63.0    0.0187998153895    0.0146220786363    
atlas_1605_09318     SR-Gbb-C          5.0       7.6       1.7              0.104565415   0.060243493193   5.4     6.9     0.00106779373399   0.000835664661382  
atlas_1609_01599     3lnoZ2b           10.0      7.7       2.2              0.108111124   0.0584647855627  10.2    8.3     0.00119890938012   0.00147335851533   
atlas_1704_03848     SRI2              729.0     765.0     59.0             8.0458161     1.74467975387    96.0    116.0   0.0540056385797    0.0446943215832    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              4.4927336     1.26290555265    8.0     9.0     0.302696061708     0.269063165962     
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           0.538254988247   7.22    6.137   0                  0                  
atlas_1709_04183     SRA-TW            9.0       9.3       2.2              1.141461      0.659027496206   8.1     8.3     0.00748838348429   0.00730794050877   
atlas_1712_02332     2j-1200           582.0     517.0     31.0             1.9185431     0.851521598456   128.0   77.0    0.00407849748853   0.00677983998093   
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             137.9155702   7.23114783736    59.0    66.0    2.13655063978      1.90994678404      
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           0.538254988247   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              20.083635     2.63751205579    5.1     5.0     3.08982651539      3.1516230457       
atlas_1807_07447     MET2m1j           17.0      16.0      5.0              6.534870615   0.456617527459   13.0    13.0    0.44507829769      0.44507829769      
atlas_1908_03122     SRC26             4.0       3.7       0.9              1.464165      2.07250580696    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             27.98177415   2.13450219948    36.0    33.0    0.680033070635     0.741854258875     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.32634525    2.07321881918    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  1.5413632     2.07265262365    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             412.9073837   24.5215299678    96.0    73.0    3.88220910993      5.10537088429      
atlas_2004_10894     Cat9              71.0      69.0      4.0              1.47609415    2.07250580696    21.0    19.0    0                  0                  
atlas_2004_14060     SRA-TW            8.0       5.6       0.7              4.3951        2.53753019039    8.5     6.7     0.0274765279725    0.0348582817561    
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             51.4951913    8.66971621706    68.0    54.0    0.548189069177     0.690312161186     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.51282825    2.0736381236     10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           2.07250580696    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.013308734   0.0477418009055  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.13721597    0.075482350885   3717.0  3549.0  3.61176070718e-06  3.78273162823e-06  
atlas_conf_2016_050  SR1               37.0      24.0      3.0              0.43710412    0.241151179754   26.0    12.9    0.00160062250785   0.00322606086853   
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              6.90200673    1.03499694809    20.0    19.0    0.260230586756     0.273926933428     
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.198304525036   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              14.46721481   1.40918954012    11.1    10.3    1.09514810488      1.18020815186      
atlas_conf_2016_096  3LH               0.0       0.98      0.5              6.57436532    0.865103875524   3.01    3.09    1.71282224722      1.66847733467      
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            62.7894326    4.87457030849    1520.0  722.0   0.0360494324303    0.0758935419586    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           1.18982927205    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.4289109     2.0734494471     21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             13.23973575   4.39775596617    116.0   119.0   0.0519604824611    0.0506505543318    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           335.52068505  22.1299241131    3986.0  2400.0  0.0750696461376    0.124678170627     
