analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             5.7363997625  0.621578189295   49.0    63.0    0.0962655414705   0.0748731989215  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0002207725  0.0989153136046  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0           0.0959182335303  6.0     8.7     0                 0                
atlas_1704_03848     SRI2              729.0    765.0    59.0             30.8068852    4.83859002731    96.0    116.0   0.238245807867    0.197168944441   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0           1.08207429135    5.6     5.1     0                 0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           1.08207429135    7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.00483024    1.08207698654    76.0    57.0    0                 0                
atlas_1712_02332     2j-2100           180.0    143.0    13.0             10.73369608   2.86290151239    67.0    37.0    0.0901274268609   0.16320371891    
atlas_1712_08119     SRM-MT2-102       5.0      6.8      1.5              3.06156       1.53078215015    5.7     6.8     0.0966802234669   0.0810407755531  
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           1.08207429135    2.97    2.9     0                 0                
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              10.4574696    1.09367956147    8.4     9.0     1.03140894276     0.962648346576   
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           460.28888333  5.59061776089    5551.0  5525.0  0.0812682886331   0.0816507276384  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           4.1664364474     5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             60.956256     4.23390488922    36.0    33.0    1.50035144394     1.63674702975    
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0           4.1664364474     6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0557952     4.16648833502    2.928   2.927   0                 0                
atlas_1911_12606     E-inc-03          90.0     77.0     12.0             20.6580268    7.79396496015    39.0    30.0    0.201946776035    0.262530808845   
atlas_2004_10894     Cat9              71.0     69.0     4.0              2.9534842     4.1664364474     21.0    19.0    0                 0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0092992     4.1664364474     66.0    57.0    0                 0                
atlas_2101_01629     2J_disc_squark    106.0    86.0     12.0             8.8549984     5.10171583485    46.0    31.0    0.0106127050183   0.0157478848658  
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0           4.1664364474     10.4    11.1    0                 0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           4.1664364474     13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0040675675  0.0959225337826  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0           0.0959182335303  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.04945304    0.395716160648   7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.96164773    0.543221939942   20.0    19.0    0.00353818742473  0.0037244078155  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.398659395841   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.01512626    0.39867528294    6.3     6.1     0                 0                
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              7.35492148    0.406783461093   11.9    13.0    0.561999714606    0.514445892601   
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            428.64548704  18.0897971494    1520.0  722.0   0.262485670865    0.552601412348   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           2.39195425239    2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0           4.1664364474     21.0    18.0    0                 0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             53.157888     12.4966109879    116.0   119.0   0.281581430861    0.274482739326   
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            380.8588204   33.4616377469    594.0   381.0   0.548790798813    0.855595103662   
